t,pos,vel
1.66997779160738e-07,24.0361328125,-0.001366203068755567
0.001131500001065433,24.036102294921875,-0.006823502480983734
0.0034632079768925905,24.0361328125,0.0021230410784482956
0.004518082976574078,24.036163330078125,0.004668553825467825
0.005621832999167964,24.036117553710938,-0.004750363528728485
0.006594207981834188,24.036117553710938,-0.002004879992455244
0.007622582983458415,24.0361328125,0.0011946132872253656
0.008626541995909065,24.036117553710938,-0.004361649509519339
0.009623041987651959,24.0361328125,0.0013496908359229565
0.010557082976447418,24.0361328125,0.002619897946715355
0.011543624976184219,24.036117553710938,-0.0044483705423772335
0.012693832977674901,24.036148071289062,0.0015190514968708158
0.01398570797755383,24.036178588867188,0.011747024022042751
0.015271666983608156,24.036239624023438,0.019068311899900436
0.01651629200205207,24.036285400390625,0.024592949077486992
0.017682457983028144,24.036361694335938,0.04016497731208801
0.018714832986006513,24.036407470703125,0.04136274382472038
0.01979399999254383,24.03643798828125,0.03726441040635109
0.020948291989043355,24.03643798828125,0.02600701153278351
0.02201937499921769,24.036407470703125,0.015067927539348602
0.023062041989760473,24.036361694335938,-0.0008673029369674623
0.024144249997334555,24.03631591796875,-0.008346729911863804
0.025191666994942352,24.036285400390625,-0.014917120337486267
0.026219541992759332,24.036239624023438,-0.01960311271250248
0.027322291978634894,24.03619384765625,-0.023564733564853668
0.028407249978045,24.036224365234375,-0.010350494645535946
0.02951366698835045,24.036285400390625,0.003888065693899989
0.03068624998559244,24.036239624023438,-0.006853092461824417
0.031719791993964463,24.036285400390625,0.005656151100993156
0.03281745797721669,24.036331176757812,0.01543011236935854
0.03378204198088497,24.036346435546875,0.0139079038053751
0.035154541983501986,24.036376953125,0.018269455060362816
0.03625333297532052,24.036407470703125,0.020268118008971214
0.03732904198113829,24.036376953125,0.01047885324805975
0.03848291697795503,24.036376953125,0.007487487979233265
0.039607916987733915,24.036331176757812,-0.004904427099972963
0.04067312498227693,24.036285400390625,-0.013327584601938725
0.041766707989154384,24.036285400390625,-0.010754522867500782
0.04277104197535664,24.03631591796875,-0.002648665104061365
0.043879832985112444,24.036300659179688,-0.004145367071032524
0.04511520799132995,24.036285400390625,-0.005262537393718958
0.046186332998331636,24.036300659179688,-0.0011050330940634012
0.04726504199788906,24.036346435546875,0.006688631605356932
0.048371082986705005,24.036361694335938,0.0088790999725461
0.04942820797441527,24.036376953125,0.010114619508385658
0.05053312500240281,24.036422729492188,0.017190027981996536
0.05168312499881722,24.036453247070312,0.022255554795265198
0.05271429198910482,24.036422729492188,0.010203382931649685
0.053792708000401035,24.036331176757812,-0.01458963006734848
0.055087291984818876,24.036331176757812,-0.009579199366271496
0.056145249982364476,24.036376953125,0.00025393726537004113
0.057301332999486476,24.036376953125,-0.00021027545153629035
0.058411332982359454,24.036346435546875,-0.0056777773424983025
0.05952224999782629,24.036376953125,0.0019332625670358539
0.060647457983577624,24.036361694335938,-0.0033199877943843603
0.06164699999499135,24.036361694335938,0.0001029385020956397
