torque_Nm,t_s,velocity_rev_s
0.006274851700000002,0.0,-0.026227427646517754
0.006274851700000002,0.002238035202026367,-0.018820438534021378
0.006274851700000002,0.004379987716674805,0.02740490436553955
0.006274851700000002,0.006718158721923828,-0.012384714558720589
0.006274851700000002,0.00898289680480957,0.012529697269201279
0.006274851700000002,0.011274099349975586,0.026927419006824493
0.006274851700000002,0.01394200325012207,0.1887262612581253
0.006274851700000002,0.016436100006103516,0.3134084939956665
0.006274851700000002,0.01900005340576172,0.4212607741355896
0.006274851700000002,0.021465063095092773,0.5879403948783875
0.006274851700000002,0.02396106719970703,0.7204784750938416
0.006274851700000002,0.026377201080322266,0.7939444780349731
0.006274851700000002,0.029173851013183594,0.9140030741691589
0.006274851700000002,0.03153705596923828,1.010155200958252
0.006274851700000002,0.03394603729248047,1.0966153144836426
0.006274851700000002,0.03638100624084473,1.1680569648742676
0.006274851700000002,0.038848876953125,1.245914101600647
0.006274851700000002,0.041253089904785156,1.3818517923355103
0.006274851700000002,0.04369187355041504,1.462990164756775
0.006274851700000002,0.04615592956542969,1.6523150205612183
0.006274851700000002,0.04844093322753906,1.7807799577713013
0.006274851700000002,0.05080008506774902,1.9408197402954102
0.006274851700000002,0.05308794975280762,2.0848050117492676
0.006274851700000002,0.055505990982055664,2.213283061981201
0.006274851700000002,0.05795693397521973,2.359713554382324
0.006274851700000002,0.0603640079498291,2.4973113536834717
0.006274851700000002,0.06278014183044434,2.692345142364502
0.006274851700000002,0.06531906127929688,2.9236598014831543
0.006274851700000002,0.06772804260253906,3.0715267658233643
0.006274851700000002,0.07009506225585938,3.2590198516845703
0.008157307210000003,0.0,-0.03739064559340477
0.008157307210000003,0.002202272415161133,-0.033758558332920074
0.008157307210000003,0.004464149475097656,0.001697045168839395
0.008157307210000003,0.00679326057434082,0.06152838096022606
0.008157307210000003,0.009136199951171875,-0.032717905938625336
0.008157307210000003,0.011498212814331055,0.07239606231451035
0.008157307210000003,0.013918399810791016,0.2803386151790619
0.008157307210000003,0.016237258911132812,0.5184846520423889
0.008157307210000003,0.018757104873657227,0.7449426054954529
0.008157307210000003,0.02122640609741211,0.9720373153686523
0.008157307210000003,0.023795366287231445,1.2413533926010132
0.008157307210000003,0.026336193084716797,1.4456393718719482
0.008157307210000003,0.028747081756591797,1.6319527626037598
0.008157307210000003,0.03125405311584473,1.9075987339019775
0.008157307210000003,0.03393721580505371,2.130072832107544
0.008157307210000003,0.03638815879821777,2.3780696392059326
