f_hz,mag,mag_db,phase_deg,re,im,n,drift
2.0,4.98978694406879,13.961640046773795,160.7769490295084,-4.711576311961142,1.6428701725230752,2250,-0.29548038397386683
2.428560586907716,4.347054155676227,12.763901013454861,166.13584599424564,-4.2204096255938905,1.041644096885493,1836,-0.0006861098633484693
2.948953262140775,2.078220335135437,6.35383180052245,159.40426188083745,-1.9453923464940366,0.7310597647066039,1380,-0.010011429278378241
3.580855832534011,1.4692646643699763,3.342000679893835,162.92668308977417,-1.4045139472975114,0.43136901350581747,1167,-0.0052212921798441645
4.348162671145358,0.9570170000588624,-0.38160695049905374,135.57769996605518,-0.6835018383509829,0.6698557869963441,1029,0.005068562642742324
5.279888244303497,4.22157269867795,12.50948545106822,80.7352011505083,0.6796626091730246,4.16650150460973,771,-0.004509304065380567
6.411264246696426,2.721948125332468,8.697596883940475,56.45878329818502,1.5039762688206089,2.26871262609996,714,0.04547791804656907
7.785071830888764,4.064814770241843,12.180815199857786,33.86678113445437,3.3751600625459433,2.265174092331782,728,-0.053088542585007906
9.453259307370974,6.170219859671829,15.806012785174037,29.95985380822233,5.345727518289817,3.0813650249341826,742,0.04233930104155343
11.47890648584984,7.399300965988835,17.383813851501614,42.40779783191514,5.463374222645887,4.990109907468148,744,-0.04642631622501062
13.93860993616714,8.69849965519657,18.788887011774364,48.12753224304868,5.80602945356896,6.477184437372815,687,0.03191209152461122
16.925379363627886,10.36870708847357,20.314492120359287,56.47478778237751,5.726677070731495,8.643798725914447,681,-0.025411475682383007
20.552154620483943,11.858190636356223,21.48036855865428,61.22054180870035,5.70900098845915,10.393459139378903,683,0.04615896675786282
24.956076343670308,13.432132359753266,22.562899253468295,70.00386773234376,4.593207775409317,12.622385751586355,736,-0.054952275841398564
30.303671706048867,15.394241683756508,23.747166010713055,79.36658239144668,2.840616499562147,15.129890115936789,801,0.016633728541953132
36.79715137195039,17.427861552280042,24.82488202444849,90.95829697726211,-0.29147501855062685,17.425423971857953,692,-0.020444036256590827
44.68205576619796,20.856722665953026,26.38492132637988,102.33540368165453,-4.455706604050394,20.375219238651162,708,-0.0045335955360094726
54.25653978790051,28.141171936969773,28.98684359272155,113.84366536478595,-11.37585696138251,25.739375213479057,841,0.005269494381454411
65.88264705544276,50.210390436007984,34.01587196922944,135.3365116428348,-35.71201801849861,35.29497240093541,715,0.02304468608912698
79.99999999999999,146.89439770254629,43.340104657361884,-99.65244862034145,-24.6299685421922,-144.8148083795454,719,-0.15550584522943875
