f_hz,mag,mag_db,phase_deg,re,im,n,drift
0.5,41.370876457217584,32.33389443362269,150.6718900308822,-36.06833278082569,20.263878929019857,8535,-0.3225292246293978
0.6103831782596193,37.78425668474301,31.54621765856577,148.36560767013958,-32.169979121574706,19.817731871634418,6776,2.248230246517962
0.7451352486046283,16.873682418752047,24.544197418973024,-148.0578766289255,-14.318719286031968,-8.927230050621421,5785,-0.7281368400707805
0.9096360425531291,30.49402037221901,29.684293722050604,140.88606298675668,-23.66009616364479,19.237596731098947,4599,2.3479436743018023
1.1104530774261625,12.371731747333918,21.848609895042404,171.80610951055473,-12.245434106728666,1.7632611734386492,3706,-3.557806070482763
1.3556037574151125,18.773725906364586,25.47100945881199,109.23499610716513,-6.184880241382201,17.72568872588777,3134,3.8876531942871715
1.6548754598234363,8.35923178565613,18.44332735121964,171.26716108212423,-8.262323460108538,1.269159992618673,2717,3.90769575214553
2.020216285581756,6.450041706090806,16.191250456012455,168.0646440300547,-6.310601832445601,1.3339199835990971,2169,-1.970078152809415
2.46621207433047,3.2856753470436044,10.332492983849239,159.74330493363075,-3.0824592359985306,1.1375884776919403,1735,-4.226186093993878
3.0106687283841613,2.300476369113996,7.2363555295333235,149.23108960428902,-1.9766558243766867,1.1768701189212154,1393,-3.4255037012562304
3.6753230942359427,2.2065730787464255,6.874366305464871,150.50143753034942,-1.9205307086018988,1.0865203859871047,1141,-2.8204543765329846
4.486710782781426,2.7978492989228356,8.936486366026584,112.48177844098909,-1.069868460624716,2.5852160792559498,970,-1.9733406582684339
5.477225575051659,3.6463926510311544,11.23726865113236,70.07100888669598,1.2428922003356937,3.42803126354453,768,5.678086616433227
6.686412709089805,5.463840042236539,14.74995953165813,39.978487942170396,4.186862643006173,3.5105169442329642,680,5.089663682221663
8.162547681059493,6.420643475998418,16.151571103655126,17.168645192216093,6.134539883389846,1.8952791522570869,696,4.747195162822914
9.964563592521559,7.508570067164562,17.51114475587842,25.640660187019005,6.769168644817908,3.2491507061898064,678,4.251738160740536
12.164403991146798,7.268055253059494,17.22836440466169,49.8951758830394,4.681994205244966,5.559096817251725,675,3.8686545395043677
14.849895139500362,10.02479665191727,20.021511438620614,79.81398761708354,1.7728297845830958,9.866793930511914,683,3.4816089302346924
18.128252384140605,16.921549080888976,24.568802359033413,58.05055702924944,8.954388847698656,14.358194303642243,757,2.972038459417734
22.130360613048527,17.401537000603444,24.811752185652857,45.23277308975424,12.254653452310581,12.35463308832533,692,-1.0442010754368602
27.015999694048116,30.898012253092194,29.798610821324544,58.890480755769566,15.964248518969523,26.454298902386636,654,-5.01398569938469
32.98022351422798,41.09907642397137,32.2766412509133,71.7926699855198,12.84167146111772,39.04133139364171,705,-4.485331540329216
40.261147296654215,56.06214960494375,34.973394920096915,86.3672877845956,3.552115655741181,55.94950484763322,696,-4.175875013900403
49.14945409462096,119.68848692987426,41.561047535563375,126.71451645604414,-71.55316055743937,95.94518809093026,708,-3.6000551819778788
60.0,110.46215021355661,40.86426985557206,-125.33835842054575,-63.8917366341949,-90.10955898054891,676,-3.408363014610493
