torque_Nm,accel_rev_s2,J_kg_m2,run
0.003797498335832414,34.90273069402088,1.731642824251892e-05,1
0.004177248169415656,38.53241385016588,1.7253777488980504e-05,1
0.004594972986357222,35.469509271099746,2.0618065464704565e-05,1
0.006115909044841464,51.00145759717314,1.908528112421835e-05,1
0.007400249944258173,42.75033757116575,2.7550340550728295e-05,1
0.008140274938683991,33.409079901984676,3.877882894169944e-05,1
0.00895430243255239,62.10263265154884,2.2947843484779438e-05,1
0.00984973267580763,68.36034741007964,2.293191452180069e-05,1
0.010834705943388393,113.0115129092723,1.5258595902718136e-05,1
0.011918176537727233,114.10628874289064,1.662341952856934e-05,1
0.013109994191499958,156.4252756759597,1.333876747518446e-05,1
0.014420993610649954,133.932029580689,1.713684489525954e-05,1
0.01586309297171495,178.20669702217552,1.4167198547317068e-05,1
0.017449402268886447,137.1701643188948,2.024608367921643e-05,1
0.019194342495775094,212.84946564523054,1.4352276987592646e-05,1
0.021113776745352607,201.6281899324932,1.6666131543841435e-05,1
0.02322515441988787,161.87923584193507,2.2834294409488296e-05,1
0.02554766986187666,232.46295393181236,1.7491122237869297e-05,1
0.02810243684806433,226.3323173652477,1.976139240460061e-05,1
0.030912680532870763,315.8835104996394,1.5575064058408974e-05,1
