kd,t,v
0.05,1.25030055642128e-07,0.2988831400871277
0.05,0.0015274580218829215,0.2599997818470001
0.05,0.0069449160364456475,0.2796986997127533
0.05,0.008212916029151529,0.3005320429801941
0.05,0.009523083048406988,0.29385149478912354
0.05,0.010936750040855259,0.33433493971824646
0.05,0.012236416048835963,0.2618035078048706
0.05,0.013595500029623508,0.24059061706066132
0.05,0.015052916016429663,-0.06025153398513794
0.05,0.01635087502654642,-0.6104951500892639
0.05,0.017815291008446366,-1.3493332862854004
0.05,0.0193425000179559,-1.0006945133209229
0.05,0.020780333026777953,-0.3788745105266571
0.05,0.022302250028587878,0.290350079536438
0.05,0.023872165998909622,0.4138038754463196
0.05,0.025370541028678417,-0.3507649302482605
0.05,0.026652666041627526,-0.5679673552513123
0.05,0.028735708037856966,-0.2766827940940857
0.05,0.03013383300276473,0.17796768248081207
0.05,0.03143008303595707,0.5265043377876282
0.05,0.032917916018050164,0.14758877456188202
0.05,0.0346158750471659,-0.2478465437889099
0.05,0.0359590410371311,-0.42223110795021057
0.05,0.037228041037451476,-0.1782330572605133
0.05,0.03849416604498401,0.21919786930084229
0.05,0.040369875030592084,0.3916889429092407
0.05,0.04227125004399568,0.02552652545273304
0.05,0.04425708303460851,-0.21385188400745392
0.05,0.04684125003404915,0.1491396129131317
0.05,0.04903479100903496,0.32893574237823486
0.05,0.050412500044330955,0.1255149245262146
0.05,0.05174287501722574,-0.07613886147737503
0.05,0.059032457997091115,-0.011553129181265831
0.05,0.060361375042703,-0.21880601346492767
0.05,0.06146204104879871,-0.3708350360393524
0.05,0.062493291043210775,0.210060715675354
0.05,0.0635864160140045,0.6551615595817566
0.05,0.06489125004736707,1.0334283113479614
0.05,0.06600537500344217,0.7765259146690369
0.05,0.06718133302638307,0.24736489355564117
0.05,0.0685098750400357,-0.2809881865978241
0.05,0.06959145801374689,-0.39921435713768005
0.05,0.07069891603896394,-0.24567127227783203
0.05,0.07206850004149601,0.27474021911621094
0.05,0.07468787505058572,0.46600380539894104
0.05,0.07645450002746657,0.017752284184098244
0.05,0.07799037505174056,-0.2729199528694153
0.05,0.07948695804225281,-0.25144171714782715
0.05,0.08073345804587007,-0.018070515245199203
0.05,0.08204995800042525,0.24332889914512634
0.05,0.0833853330113925,0.35050368309020996
0.05,0.08460858301259577,0.15155556797981262
0.05,0.08601287502096966,-0.047347646206617355
0.05,0.0873062500031665,-0.18656642735004425
0.05,0.08868462505051866,-0.17008742690086365
0.05,0.08995070803212002,-0.06628751754760742
0.05,0.09122058300999925,0.06806263327598572
0.05,0.09251000004587695,0.12301719933748245
0.05,0.09376758302096277,0.15023329854011536
0.05,0.09514304104959592,-0.02988920919597149
0.05,0.09648820804432034,-0.06740571558475494
0.05,0.09775637503480539,-0.12308259308338165
0.05,0.09906041604699567,-0.07147444039583206
0.05,0.10064841603161767,-0.0019752425141632557
0.05,0.10205225000390783,0.07784071564674377
0.05,0.10373654100112617,0.04476432129740715
0.05,0.10519925004336983,0.018727628514170647
0.05,0.10733366600470617,-0.0029342412017285824
0.05,0.10877895803423598,-0.03901832178235054
0.05,0.11129175004316494,0.044592928141355515
0.05,0.11313050001626834,0.008884279057383537
0.05,0.11482300003990531,-0.018633808940649033
0.05,0.11610995803494006,-0.050416529178619385
0.05,0.11729141604155302,-0.023890111595392227
0.05,0.11853750003501773,-0.004313619341701269
0.05,0.11988837504759431,-0.027603814378380775
0.05,0.12129254103638232,0.029403485357761383
0.05,0.12253883300581947,0.0053827944211661816
0.05,0.1237167080398649,-0.003085253993049264
0.05,0.12489641603315249,-0.05594627931714058
0.05,0.12600395805202425,0.02513476274907589
0.05,0.12711441604187712,-0.03384773060679436
0.05,0.12821679102489725,-0.013757036998867989
0.05,0.12923945800866932,-0.032700978219509125
0.05,0.13037095800973475,-0.023971740156412125
0.05,0.13149795803474262,0.046637482941150665
0.05,0.13256254099542275,-0.05240805819630623
0.05,0.13425058301072568,-0.05926003307104111
0.05,0.13531837501795962,0.0059990184381604195
0.05,0.1364258750109002,0.047523051500320435
0.05,0.13750825001625344,-0.02522869221866131
0.05,0.1386842910433188,0.018364407122135162
0.05,0.13989129103720188,-0.0348353385925293
0.05,0.1410775410477072,-0.03842660039663315
0.05,0.14218758302740753,-0.021776175126433372
0.05,0.14327875000890344,0.032913126051425934
0.05,0.14434550004079938,-0.01746257208287716
0.05,0.14551112503977492,-0.06865447014570236
0.05,0.14658733300166205,-0.027473244816064835
0.05,0.14764387503964826,-0.003840251127257943
0.05,0.14898412500042468,-0.06199023127555847
0.05,0.15021966601489112,-0.0013018731260672212
0.05,0.15137504105223343,-0.003901461372151971
0.05,0.1524970000027679,0.009382144547998905
0.05,0.15353933302685618,-0.01669944077730179
0.05,0.15459087502676994,-0.03875716030597687
0.05,0.15570033300900832,-0.030652320012450218
0.05,0.15683554101269692,-0.014724225737154484
0.05,0.15802412503398955,-0.000510151672642678
0.05,0.15913516603177413,0.009263805113732815
0.05,0.1602111660176888,-0.009851532988250256
0.05,0.16141458303900436,-0.04846174642443657
0.05,0.16252312500728294,-0.034337449818849564
0.05,0.16416700003901497,-0.03901427239179611
0.05,0.16534933302318677,-0.03483942151069641
0.05,0.16648612503195181,0.007921148091554642
0.05,0.1675561250303872,0.0019506647950038314
0.05,0.16863487503724173,-0.002187454141676426
0.05,0.16982683300739154,-0.025130756199359894
0.05,0.17088837502524257,-0.06696494668722153
0.05,0.17199579102452844,0.006770316045731306
0.05,0.1732437500031665,-0.03548422083258629
0.05,0.1744157909997739,0.0037748776376247406
0.05,0.17551512503996491,-0.05452200770378113
0.05,0.17661512503400445,0.013075446709990501
0.05,0.17791154101723805,-0.02685292437672615
0.05,0.1790314160170965,0.005313416942954063
0.05,0.1802034160355106,-0.037496134638786316
0.05,0.18160654103849083,-0.020409058779478073
0.05,0.18302970804506913,-0.046404946595430374
0.05,0.18417300004512072,-0.006133770104497671
0.05,0.18534175003878772,-0.05617890506982803
0.05,0.18647754105040804,-0.04492354765534401
0.05,0.18750537501182407,-0.029121963307261467
0.05,0.1885556250344962,0.006880500353872776
0.05,0.1896181660122238,0.010022861883044243
0.05,0.19087370805209503,-0.02930152229964733
0.05,0.19194537500152364,-0.03778589516878128
0.05,0.19313533301465213,-0.03516590595245361
0.05,0.19422150001628324,-0.01686268486082554
0.05,0.1952557080076076,0.0343659333884716
0.05,0.19651841605082154,-0.015666963532567024
0.05,0.19864379102364182,-0.024053385481238365
0.05,0.20000462501775473,-0.029505567625164986
0.05,0.20819133304757997,-0.004170812666416168
0.05,0.20918608299689367,-0.0013508532429113984
0.05,0.21027929103001952,-0.018005358055233955
0.05,0.21132583305006847,-0.06962983310222626
0.05,0.21237333305180073,-0.03879798576235771
0.05,0.21400737500516698,-0.01871136762201786
0.05,0.21504091599490494,-0.028975049033761024
0.05,0.21607379103079438,-0.05197548493742943
0.05,0.2170656660455279,0.007362055592238903
0.05,0.21805983304511756,-0.012842906638979912
0.05,0.21919183304999024,-0.023510605096817017
0.05,0.22033637500135228,-0.020535577088594437
0.05,0.22151066601509228,-0.019050097092986107
0.05,0.22257866599829867,0.004354346077889204
0.05,0.2239476250251755,-0.023816702887415886
0.05,0.22498250001808628,-0.01259398739784956
0.05,0.22599420801270753,-0.049898285418748856
0.05,0.22696029103826731,-0.04566630348563194
0.05,0.22796675004065037,0.03937738016247749
0.05,0.22896800003945827,-0.0816238671541214
0.05,0.23004408302949741,0.03352932259440422
0.05,0.2310322080156766,-0.047282375395298004
0.05,0.23304362501949072,-0.05149803310632706
0.05,0.23496316600358114,-0.01938476413488388
0.05,0.23623704101191834,-0.019845904782414436
0.05,0.23743387503782287,-0.015295600518584251
0.05,0.2385083750123158,-0.020633528009057045
0.05,0.23962762503651902,-0.04031204804778099
0.05,0.24076975003117695,-0.04335646331310272
0.05,0.24190779100172222,0.008594488725066185
