accel,ratio,slip,wm,peak_tau
1.0,4.132602095120409,0.0,2.6599865570740424,0.02567354403436184
2.0,4.121640219029963,-0.002652536062784483,nan,0.0
3.0,4.043520393520352,-0.021555838077234712,nan,0.0
4.0,4.193069140266639,0.014631712358087023,5.345351457595825,0.04097950831055641
5.0,4.054546405692171,-0.018887782474969583,nan,0.0
6.0,4.531923272389054,0.0966270567737808,nan,0.0
