v_cmd,omega,torque,q_A
-6.0,-5.9959664430704205,-0.006123997153367413,-0.20463491305640713
-5.185714285714286,-5.195288757844405,-0.0051699491033023485,-0.17363638671631634
-4.371428571428571,-4.378225304961744,-0.0047343822298812465,-0.15858553022244204
-3.557142857142857,-3.55821601833616,-0.004608212362443608,-0.15175616987835383
-2.742857142857143,-2.7450767012455004,-0.004061091140577004,-0.13337996901553792
-1.9285714285714286,-1.9301575481621929,-0.003824178433386892,-0.12711983898968532
-1.1142857142857143,-1.1071225575038366,-0.0037134318013279273,-0.12417104996782065
-0.3,-0.2722056433221334,-0.003139093677970442,-0.10297459271206263
0.3,0.3065609180145134,0.0030347318227199535,0.10101315572413266
1.1142857142857143,1.1190086527987644,0.003530116460850066,0.11692206995972844
1.9285714285714286,1.931823903079486,0.0033306306323036667,0.11226044754820537
2.742857142857143,2.7410916090011597,0.004154925639235527,0.1377925605722873
3.557142857142857,3.555298688175442,0.004256447475535763,0.14165021692243246
4.371428571428571,4.374845571980077,0.00456464573394021,0.1508825934627442
5.185714285714286,5.185130703967551,0.0050675328319881455,0.16875368915548872
6.0,5.997878967669973,0.005464128694183725,0.1824745514895767
