101,0,0,0.000000,0.000000,0.000000,0
122,0,0,0.000000,0.000000,0.000000,0
140,0,0,0.000000,0.000000,0.000000,0
158,0,0,0.000000,0.000000,0.000000,0
176,0,0,0.000000,0.000000,0.000000,0
194,0,0,0.000000,0.000000,0.000000,0
212,0,0,0.000000,0.000000,0.000000,0
231,0,0,0.000000,0.000000,0.000000,0
249,0,0,0.000000,0.000000,0.000000,0
267,0,0,0.000000,0.000000,0.000000,0
285,0,0,0.000000,0.000000,0.000000,0
305,0,0,0.000000,0.000000,0.000000,0
323,0,0,0.000000,0.000000,0.000000,0
341,0,0,0.000000,0.000000,0.000000,0
359,0,0,0.000000,0.000000,0.000000,0
377,0,0,0.000000,0.000000,0.000000,0
396,0,0,0.000000,0.000000,0.000000,0
414,0,0,0.000000,0.000000,0.000000,0
433,0,0,0.000000,0.000000,0.000000,0
452,0,0,0.000000,0.000000,0.000000,0
470,0,0,0.000000,0.000000,0.000000,0
489,0,0,0.000000,0.000000,0.000000,0
507,0,0,0.000000,0.000000,0.000000,0
525,0,0,0.000000,0.000000,0.000000,0
543,0,0,0.000000,0.000000,0.000000,0
563,0,0,0.000000,0.000000,0.000000,0
582,0,0,0.000000,0.000000,0.000000,0
600,0,0,0.000000,0.000000,0.000000,0
618,0,0,0.000000,0.000000,0.000000,0
636,0,0,0.000000,0.000000,0.000000,0
654,0,0,0.000000,0.000000,0.000000,0
672,0,0,0.000000,0.000000,0.000000,0
690,0,0,0.000000,0.000000,0.000000,0
708,0,0,0.000000,0.000000,0.000000,0
726,0,0,0.000000,0.000000,0.000000,0
745,0,0,0.000000,0.000000,0.000000,0
763,0,0,0.000000,0.000000,0.000000,0
782,0,0,0.000000,0.000000,0.000000,0
802,0,0,0.000000,0.000000,0.000000,0
821,0,0,0.000000,0.000000,0.000000,0
839,0,0,0.000000,0.000000,0.000000,0
857,0,0,0.000000,0.000000,0.000000,0
875,0,0,0.000000,0.000000,0.000000,0
893,0,0,0.000000,0.000000,0.000000,0
911,0,0,0.000000,0.000000,0.000000,0
930,0,0,0.000000,0.000000,0.000000,0
948,0,0,0.000000,0.000000,0.000000,0
966,0,0,0.000000,0.000000,0.000000,0
985,0,0,0.000000,0.000000,0.000000,0
1003,0,0,0.000000,0.000000,0.000000,0
1021,0,0,0.000000,0.000000,0.000000,0
1039,0,0,0.000000,0.000000,0.000000,0
1059,0,0,0.000000,0.000000,0.000000,0
1077,0,0,0.000000,0.000000,0.000000,0
1096,0,0,0.000000,0.000000,0.000000,0
1114,0,0,0.000000,0.000000,0.000000,0
1132,0,0,0.000000,0.000000,0.000000,0
1150,0,0,0.000000,0.000000,0.000000,0
1169,0,0,0.000000,0.000000,0.000000,0
1187,0,0,0.000000,0.000000,0.000000,0
1205,0,0,0.000000,0.000000,0.000000,0
1224,0,0,0.000000,0.000000,0.000000,0
1242,0,0,0.000000,0.000000,0.000000,0
1260,0,0,0.000000,0.000000,0.000000,0
1279,0,0,0.000000,0.000000,0.000000,0
1299,0,0,0.000000,0.000000,0.000000,0
1317,0,0,0.000000,0.000000,0.000000,0
1336,0,0,0.000000,0.000000,0.000000,0
1354,0,0,0.000000,0.000000,0.000000,0
1372,0,0,0.000000,0.000000,0.000000,0
1390,0,0,0.000000,0.000000,0.000000,0
1408,0,0,0.000000,0.000000,0.000000,0
1426,0,0,0.000000,0.000000,0.000000,0
1444,0,0,0.000000,0.000000,0.000000,0
1462,0,0,0.000000,0.000000,0.000000,0
1481,0,0,0.000000,0.000000,0.000000,0
1499,0,0,0.000000,0.000000,0.000000,0
1517,0,0,0.000000,0.000000,0.000000,0
1537,0,0,0.000000,0.000000,0.000000,0
1555,0,0,0.000000,0.000000,0.000000,0
1573,0,0,0.000000,0.000000,0.000000,0
1591,0,0,0.000000,0.000000,0.000000,0
1609,0,0,0.000000,0.000000,0.000000,0
1627,0,0,0.000000,0.000000,0.000000,0
1645,0,0,0.000000,0.000000,0.000000,0
1663,0,0,0.000000,0.000000,0.000000,0
1681,0,0,0.000000,0.000000,0.000000,0
1699,0,0,0.000000,0.000000,0.000000,0
1717,0,0,0.000000,0.000000,0.000000,0
1736,0,0,0.000000,0.000000,0.000000,0
1754,0,0,0.000000,0.000000,0.000000,0
1774,0,0,0.000000,0.000000,0.000000,0
1792,0,0,0.000000,0.000000,0.000000,0
1810,0,0,0.000000,0.000000,0.000000,0
1828,0,0,0.000000,0.000000,0.000000,0
