v_cmd,omega,t,torque
-32.0,-32.07049577961797,1.2497184798121452e-07,-0.02289361134171486
-32.0,-32.07049577961797,0.012608167016878724,-0.053034745156764984
-32.0,-32.07049577961797,0.02494375000242144,-0.02979205548763275
-32.0,-32.07049577961797,0.03730983298737556,-0.041820917278528214
-32.0,-32.07049577961797,0.0496237920015119,-0.04636469483375549
-32.0,-32.07049577961797,0.061950541974511,-0.02429545298218727
-32.0,-32.07049577961797,0.07430145796388388,-0.05278260260820389
-32.0,-32.07049577961797,0.08742845797678456,-0.03053048998117447
-32.0,-32.07049577961797,0.10031962499488145,-0.04404861852526665
-32.0,-32.07049577961797,0.11380216700490564,-0.043008022010326385
-32.0,-32.07049577961797,0.12744029198074713,-0.035831112414598465
-32.0,-32.07049577961797,0.139959332998842,-0.04698055237531662
-32.0,-32.07049577961797,0.15309708297718316,-0.023165177553892136
-32.0,-32.07049577961797,0.16640145797282457,-0.04800538346171379
-32.0,-32.07049577961797,0.18065850000130013,-0.029356354847550392
-32.0,-32.07049577961797,0.19383424997795373,-0.041317541152238846
-32.0,-32.07049577961797,0.20911587501177564,-0.03920289874076843
-32.0,-32.07049577961797,0.22223199997097254,-0.041220128536224365
-32.0,-32.07049577961797,0.23505070799728855,-0.043212924152612686
-32.0,-32.07049577961797,0.24816174997249618,-0.02311777137219906
-32.0,-32.07049577961797,0.2615812079748139,-0.05252932384610176
-32.0,-32.07049577961797,0.27412145800190046,-0.02979920618236065
-32.0,-32.07049577961797,0.2872367079835385,-0.0384816937148571
-32.0,-32.07049577961797,0.3001026249839924,-0.0427592396736145
-32.0,-32.07049577961797,0.3128415420069359,-0.03043361008167267
-32.0,-32.07049577961797,0.32730962499044836,-0.04403461888432503
-32.0,-32.07049577961797,0.33994375000474975,-0.022135036066174507
-32.0,-32.07049577961797,0.3537914580083452,-0.04977501928806305
-32.0,-32.07049577961797,0.3677337499684654,-0.02462678588926792
-32.0,-32.07049577961797,0.38153020798927173,-0.03743981570005417
-32.0,-32.07049577961797,0.39454262499930337,-0.03912604600191116
-32.0,-32.07049577961797,0.4077961249859072,-0.03566621616482735
-32.0,-32.07049577961797,0.42012133297976106,-0.04508914053440094
-32.0,-32.07049577961797,0.43340383301256225,-0.020944079384207726
-32.0,-32.07049577961797,0.4502515419735573,-0.04448961094021797
-32.0,-32.07049577961797,0.46344108297489583,-0.02132350578904152
-32.0,-32.07049577961797,0.47724558296613395,-0.04660738632082939
-32.0,-32.07049577961797,0.4906984170083888,-0.02624345012009144
-32.0,-32.07049577961797,0.5034712919732556,-0.03857799991965294
-32.0,-32.07049577961797,0.5164782499778084,-0.044922374188899994
-32.0,-32.07049577961797,0.5292804170167074,-0.024205772206187248
-32.0,-32.07049577961797,0.5421371249831282,-0.04913292080163956
-32.0,-32.07049577961797,0.5548967919894494,-0.027163634076714516
-32.0,-32.07049577961797,0.5672627079766244,-0.03780790790915489
-32.0,-32.07049577961797,0.5821006670012139,-0.03321325406432152
-32.0,-32.07049577961797,0.5951901669614017,-0.038974862545728683
-32.0,-32.07049577961797,0.6068178749992512,-0.045727889984846115
-32.0,-32.07049577961797,0.6185427919845097,-0.024021416902542114
-32.0,-32.07049577961797,0.6309499999624677,-0.038288574665784836
-32.0,-32.07049577961797,0.643156000005547,-0.0406358540058136
-32.0,-32.07049577961797,0.6558241249877028,-0.034981619566679
-32.0,-32.07049577961797,0.6682948329835199,-0.04595189914107323
-32.0,-32.07049577961797,0.6814695000066422,-0.02138625644147396
-32.0,-32.07049577961797,0.6943381250021048,-0.045796457678079605
-32.0,-32.07049577961797,0.7077410420170054,-0.028637457638978958
-32.0,-32.07049577961797,0.7207908330019563,-0.03962349891662598
-32.0,-32.07049577961797,0.7334267079713754,-0.04542945325374603
-32.0,-32.07049577961797,0.746229707961902,-0.02466140128672123
-32.0,-32.07049577961797,0.759096541965846,-0.05227973312139511
-32.0,-32.07049577961797,0.7715648330049589,-0.02661106362938881
-32.0,-32.07049577961797,0.7840641670045443,-0.04286544770002365
-32.0,-32.07049577961797,0.7964542919653468,-0.04688284918665886
-32.0,-32.07049577961797,0.8092587919672951,-0.027134060859680176
-32.0,-32.07049577961797,0.8221182500128634,-0.050215933471918106
-32.0,-32.07049577961797,0.8354219169705175,-0.027238832786679268
-32.0,-32.07049577961797,0.8479358750046231,-0.040929656475782394
-32.0,-32.07049577961797,0.8601928749703802,-0.04239511117339134
-32.0,-32.07049577961797,0.8732092920108698,-0.036854736506938934
-32.0,-32.07049577961797,0.8870409579831176,-0.04716639593243599
-32.0,-32.07049577961797,0.9004946670029312,-0.02304265834391117
-32.0,-32.07049577961797,0.9134470829740167,-0.051559772342443466
-32.0,-32.07049577961797,0.9269179999828339,-0.02917785756289959
-32.0,-32.07049577961797,0.9406883749761619,-0.04022018983960152
-32.0,-32.07049577961797,0.954144291987177,-0.03627066686749458
-32.0,-32.07049577961797,0.96730745799141,-0.03518211469054222
-32.0,-32.07049577961797,0.9812520829727873,-0.047521695494651794
-32.0,-32.07049577961797,0.994144750002306,-0.023098573088645935
-32.0,-32.07049577961797,1.0072287499788217,-0.05011749640107155
-32.0,-32.07049577961797,1.021119249984622,-0.02996896207332611
-32.0,-32.07049577961797,1.0333952920045704,-0.04232490062713623
-32.0,-32.07049577961797,1.0457444579806179,-0.04852553457021713
-32.0,-32.07049577961797,1.0581293749855831,-0.025089973583817482
-32.0,-32.07049577961797,1.0703571669873782,-0.051987435668706894
-32.0,-32.07049577961797,1.0826757079921663,-0.02637338452041149
-32.0,-32.07049577961797,1.0950200419756584,-0.04272760450839996
-32.0,-32.07049577961797,1.1072495830012485,-0.045113369822502136
