v_cmd,omega_mean,t,torque,omega
-32.0,-32.05758970578511,1.3042067920323461,-0.02937893755733967,-32.37124252319336
-32.0,-32.05758970578511,1.316597459022887,-0.04088347777724266,-32.00043487548828
-32.0,-32.05758970578511,1.3289753340068273,-0.04639386758208275,-31.888553619384766
-32.0,-32.05758970578511,1.3412723340443335,-0.02433333918452263,-32.384334564208984
-32.0,-32.05758970578511,1.3536584170069546,-0.05398764833807945,-31.756959915161133
-32.0,-32.05758970578511,1.3652307920274325,-0.0297835785895586,-32.3053092956543
-32.0,-32.05758970578511,1.3775495419977233,-0.03957413509488106,-32.014957427978516
-32.0,-32.05758970578511,1.3892487090197392,-0.04483461752533913,-31.846555709838867
-32.0,-32.05758970578511,1.4016704590176232,-0.022241083905100822,-32.607421875
-32.0,-32.05758970578511,1.4141688339877874,-0.051651645451784134,-31.781335830688477
-32.0,-32.05758970578511,1.4266741250175983,-0.03195933625102043,-32.232627868652344
-32.0,-32.05758970578511,1.4389272090047598,-0.041498277336359024,-31.989599227905273
-32.0,-32.05758970578511,1.451403749990277,-0.04563162848353386,-31.802099227905273
-32.0,-32.05758970578511,1.4638691250002012,-0.0233807060867548,-32.54022979736328
-32.0,-32.05758970578511,1.4765520000364631,-0.052941251546144485,-31.721885681152344
-32.0,-32.05758970578511,1.488884499995038,-0.03428436815738678,-32.19495391845703
-32.0,-32.05758970578511,1.5012051250087097,-0.04235415905714035,-31.989805221557617
-32.0,-32.05758970578511,1.5136639589909464,-0.04491562768816948,-31.839061737060547
-32.0,-32.05758970578511,1.5249098340282217,-0.02391975186765194,-32.58122253417969
-32.0,-32.05758970578511,1.5372767919907346,-0.04758996516466141,-31.77109718322754
-32.0,-32.05758970578511,1.5497605840209872,-0.03754090517759323,-32.121463775634766
-32.0,-32.05758970578511,1.5613984590163454,-0.03668391332030296,-32.10034942626953
-32.0,-32.05758970578511,1.5732077090069652,-0.04777221009135246,-31.866363525390625
-32.0,-32.05758970578511,1.5854662919882685,-0.027022389695048332,-32.44916534423828
-32.0,-32.05758970578511,1.597251875034999,-0.041867438703775406,-31.9595947265625
-32.0,-32.05758970578511,1.6095337920123711,-0.044579602777957916,-31.910953521728516
-32.0,-32.05758970578511,1.6219894170062616,-0.030953653156757355,-32.26465606689453
-32.0,-32.05758970578511,1.634524709021207,-0.050955336540937424,-31.817901611328125
-32.0,-32.05758970578511,1.647342667041812,-0.025690311565995216,-32.51535415649414
-32.0,-32.05758970578511,1.660614084044937,-0.044028881937265396,-31.89019775390625
-32.0,-32.05758970578511,1.6725790000054985,-0.041034769266843796,-32.06807327270508
-32.0,-32.05758970578511,1.6863683339906856,-0.039282120764255524,-32.010047912597656
-32.0,-32.05758970578511,1.7020064590033144,-0.04238495975732803,-31.93646812438965
-32.0,-32.05758970578511,1.715589708997868,-0.03164568543434143,-32.19209671020508
-32.0,-32.05758970578511,1.7277040420449339,-0.05156928673386574,-31.820669174194336
-32.0,-32.05758970578511,1.7445374589879066,-0.026735449209809303,-32.419578552246094
-32.0,-32.05758970578511,1.7570370419998653,-0.05118886008858681,-31.755435943603516
-32.0,-32.05758970578511,1.76977887499379,-0.029646439477801323,-32.31941223144531
-32.0,-32.05758970578511,1.7813189590233378,-0.04277367144823074,-31.99580955505371
-32.0,-32.05758970578511,1.7938324169954285,-0.04807008057832718,-31.79851531982422
-32.0,-32.05758970578511,1.805783584015444,-0.02446621283888817,-32.53385925292969
-32.0,-32.05758970578511,1.8180602919892408,-0.05334644764661789,-31.725299835205078
-32.0,-32.05758970578511,1.8311428340384737,-0.030340276658535004,-32.28411102294922
-32.0,-32.05758970578511,1.8439601249992847,-0.040728695690631866,-32.000465393066406
