v_cmd,omega,omega_std,torque,torque_std,q_A
-32.0,-32.05758970578511,0.26354176615000874,-0.039043641610381506,0.00909650308724839,-1.2970333953698476
-30.13529411764706,-30.150355269468903,0.276707207977263,-0.034599705711167,0.009491707142963752,-1.1501886545332716
-28.27058823529412,-28.273528176594557,0.27440178004748267,-0.03144218236571405,0.009641975477903483,-1.044451662316555
-26.405882352941177,-26.40959189154885,0.29899491355045926,-0.028139242694967172,0.010547036349515291,-0.9325862621719186
-24.541176470588237,-24.557827363320445,0.2489247500902418,-0.024359513702161543,0.008777337946292305,-0.8086522259843458
-22.676470588235293,-22.668003508022853,0.26961021256573137,-0.02224126598697954,0.009078947964518592,-0.7355485733465424
-20.811764705882354,-20.808984385356645,0.29327466780206873,-0.019134178537742668,0.009568651384440118,-0.6363175141022486
-18.947058823529414,-18.96796199848558,0.2706208816291928,-0.01649457590907912,0.008771727095903657,-0.5501439227767321
-17.08235294117647,-17.074903174622417,0.2414748856927031,-0.015096425839443744,0.008090474103575898,-0.49976291447348214
-15.21764705882353,-15.204923526660815,0.22717668653255008,-0.012969690074798465,0.007604332475192919,-0.42964396446624453
-13.352941176470589,-13.352125176399813,0.20833285104047128,-0.010828243972143188,0.0068510995221832925,-0.3596856573600773
-11.488235294117647,-11.486888687731483,0.19034338879681437,-0.009033548939429373,0.006425352004238285,-0.29969017998388353
-9.623529411764707,-9.632143944368234,0.1649569373407568,-0.007359733218138577,0.005625404474692422,-0.24505514098767933
-7.758823529411765,-7.754510300809687,0.1380140145424587,-0.006322018230081658,0.004917732701876623,-0.20794463412709197
-5.894117647058823,-5.885728173191772,0.1122806318726677,-0.0053676546541052824,0.004042026675535239,-0.17716025044352965
-4.029411764705882,-4.031987902236311,0.08533058947776812,-0.003947577100400659,0.0033010980335018434,-0.13079424438953813
-2.164705882352941,-2.1657788936908426,0.056017873312420564,-0.0031636059785764736,0.0028558600571692806,-0.1049580460002089
-0.3,-0.32817773747554024,0.08711532962985845,-0.0032169151672294793,0.004233931960566076,-0.10836683689972175
0.3,0.3178602090753648,0.0676592849648573,0.0027723122805543283,0.002451916024755294,0.09212950422511017
2.164705882352941,2.172368074775836,0.05635679343052501,0.0033739071998265904,0.002513555276378701,0.11245226965552778
4.029411764705882,4.0342400796812585,0.07970575820526364,0.0040430519820061385,0.0029136677425211015,0.13441016195063812
5.894117647058823,5.895753613224736,0.098351891272044,0.005130074948755026,0.0035660097607860776,0.17130823478779617
7.758823529411765,7.7586518316938164,0.12729247014208184,0.006313246774967857,0.004304169862757972,0.20840443492385774
9.623529411764707,9.623629775540582,0.15021475740577855,0.007650389263709948,0.0049862617987557435,0.2529435204111184
11.488235294117647,11.49386611737703,0.1685875087468072,0.009040492701292112,0.0055248398584620915,0.30052435658300264
13.352941176470589,13.35150813237792,0.18404032073413254,0.010861258969587324,0.006072922018098813,0.3614699316609255
15.21764705882353,15.22092474423922,0.20279728821172274,0.012808151614531858,0.0067373458797112765,0.42446120989580566
17.08235294117647,17.080939334014367,0.2101844547728272,0.014880527861633113,0.0070182646011058645,0.4940886468594444
18.947058823529414,18.943164219672077,0.2294486376479784,0.017370492006080474,0.007744209028348795,0.57710718765631
20.811764705882354,20.801681560199853,0.2711824927965989,0.019797265701777277,0.008618941589556206,0.6576445655819481
22.676470588235293,22.682762170038302,0.2442271229381338,0.021941355022625262,0.00797743781545093,0.727890072875664
24.541176470588237,24.549153280258178,0.23845369918347237,0.024550852035948385,0.007871262201011689,0.8153710181514422
26.405882352941177,26.42116686555206,0.26683815100450875,0.027720823483236255,0.00886472408406407,0.9218462344075813
28.27058823529412,28.28175391978268,0.2386515277535124,0.031001802222019408,0.008053739192058455,1.0290834979234238
30.13529411764706,30.1408458167109,0.24139056321497415,0.03456297466242365,0.008237760231103572,1.1477079568751927
32.0,32.006800162273905,0.2384087761383342,0.038243064996988874,0.008275918997609712,1.2683723314948705
