v_cmd,t,omega_m,enc1_pos,q_A
1.0,1.04197533801198e-06,1.026100754737854,0.5342424511909485,0.17745405435562134
1.0,0.01243354199687019,1.0357766151428223,0.5374329686164856,0.1548236906528473
1.0,0.025229833961930126,1.0310250520706177,0.5408400297164917,0.013465099036693573
1.0,0.038235041953157634,1.0406948328018188,0.5442081093788147,0.10620203614234924
1.0,0.050748499983455986,1.0458437204360962,0.547605574131012,0.09760885685682297
1.0,0.06388366699684411,1.0452765226364136,0.5508102178573608,0.02594417706131935
1.0,0.07724470895482227,1.0313286781311035,0.5542474389076233,0.12686365842819214
1.0,0.09035904199117795,1.0581432580947876,0.5575960278511047,0.07233627140522003
1.0,0.10472479194868356,1.035826325416565,0.5610121488571167,0.02919827029109001
1.0,0.11879854195285589,1.0215482711791992,0.5651409029960632,0.12947094440460205
1.0,0.13274045899743214,1.0148438215255737,0.5683083534240723,0.12074053287506104
1.0,0.1460589169873856,1.023174524307251,0.5713779926300049,0.045218151062726974
1.0,0.15855104196816683,0.9977573752403259,0.5746435523033142,0.20262539386749268
1.0,0.1726034169550985,1.0137149095535278,0.5780998468399048,0.12053041905164719
1.0,0.18817958398722112,1.0153652429580688,0.5820741057395935,0.045667678117752075
1.0,0.20092566695529968,1.0125737190246582,0.5846766233444214,0.17860344052314758
1.0,0.21374074998311698,1.0000603199005127,0.5877273678779602,0.15484771132469177
1.0,0.22709666698938236,0.9957222938537598,0.5913181900978088,0.04777979850769043
1.0,0.2413843339891173,0.9774435758590698,0.5945615172386169,0.18876221776008606
1.0,0.25511445896700025,1.0010770559310913,0.5979270935058594,0.16263830661773682
1.0,0.269925249973312,1.0116322040557861,0.6014630794525146,0.02917017601430416
1.0,0.2843498339643702,0.9915657639503479,0.6046209931373596,0.1413317620754242
1.0,0.29795549996197224,1.0334537029266357,0.608047604560852,0.13141265511512756
1.0,0.3120457499753684,1.028422236442566,0.6112045049667358,-0.029947331175208092
1.0,0.32510283397277817,1.0050040483474731,0.614138126373291,0.0820116400718689
1.0,0.3381039169616997,0.9826034903526306,0.6171982288360596,0.16699497401714325
1.0,0.3505712089827284,0.9894015789031982,0.6202678084373474,0.04239143058657646
1.0,0.36360174999572337,0.9921962022781372,0.6234582662582397,0.04637666046619415
1.0,0.37825683399569243,0.9895253777503967,0.6266066431999207,0.1567653864622116
1.0,0.39445033395895734,0.9418717622756958,0.630497395992279,0.07970002293586731
1.0,0.40834604197880253,0.955973744392395,0.6338551044464111,0.15089432895183563
1.0,0.4222087090020068,0.9158414006233215,0.6367495656013489,0.22905908524990082
1.0,0.43506095896009356,0.9454408288002014,0.6401899456977844,0.22378288209438324
1.0,0.4502827499527484,0.9572773575782776,0.6441465020179749,0.15108850598335266
1.0,0.46716433396795765,0.9796454310417175,0.6476661562919617,0.18459472060203552
1.0,0.4812502919812687,1.0050302743911743,0.6506827473640442,0.08804374933242798
1.0,0.4967167089926079,0.9910973906517029,0.6542176008224487,0.10476373881101608
1.0,0.5104087090003304,0.9692601561546326,0.6575722098350525,0.18948541581630707
1.0,0.5242223749519326,0.9951433539390564,0.6608845591545105,0.03780648112297058
1.0,0.5380074999993667,0.9508845210075378,0.6640685796737671,0.08077063411474228
1.0,0.5547953749774024,0.980150043964386,0.667904257774353,0.14512228965759277
1.0,0.5681982089881785,0.9728299379348755,0.6711251139640808,0.02149926871061325
1.0,0.5827685839612968,0.9751662015914917,0.6743773818016052,0.035189516842365265
1.0,0.5958827919675969,0.9860355257987976,0.6774613261222839,0.10042797029018402
1.0,0.6103484169580042,0.9806656837463379,0.6808245182037354,-0.005426355637609959
1.0,0.6237503339652903,0.9698415994644165,0.6840125918388367,-0.050422005355358124
1.0,0.6366366249858402,0.9831588864326477,0.6870561242103577,0.13211551308631897
1.0,0.6497037499793805,0.9689936637878418,0.6901055574417114,0.02674383670091629
1.0,0.6626313339802437,0.9811259508132935,0.6931394934654236,3.236875212309087e-10
1.0,0.6749738749931566,0.987980842590332,0.6960445046424866,0.177983820438385
1.0,0.6873507499694824,0.9347690939903259,0.6988629102706909,0.16279719769954681
