v_cmd,t,omega_m,enc1_pos,q_A
1.0,3.1669624149799347e-06,0.9461706876754761,0.3396781086921692,0.18648657202720642
1.0,0.01359504199353978,0.925432562828064,0.3433602750301361,0.3018079102039337
1.0,0.026477832987438887,0.9578180313110352,0.34684324264526367,0.10063521564006805
1.0,0.04270587500650436,1.0015467405319214,0.3511921167373657,0.2585502862930298
1.0,0.05634620797354728,0.9878857135772705,0.35490405559539795,0.19297634065151215
1.0,0.07000075001269579,0.9948678612709045,0.3584234416484833,0.04460560530424118
1.0,0.08461691701086238,1.0007538795471191,0.3621353209018707,0.21306036412715912
1.0,0.09728341700974852,0.9665443301200867,0.36553889513015747,0.30293917655944824
1.0,0.11007162497844547,0.997306764125824,0.3691701591014862,0.16139578819274902
1.0,0.123145374993328,0.9932870864868164,0.37264686822891235,0.197763592004776
1.0,0.13603941700421274,0.9790423512458801,0.3763090968132019,0.34827935695648193
1.0,0.15127366699744016,0.9849084615707397,0.3806133270263672,0.19229982793331146
1.0,0.16398220800329,0.979032039642334,0.38412976264953613,0.19862942397594452
1.0,0.1829610419808887,0.9659308195114136,0.38923874497413635,0.32276102900505066
1.0,0.19638099998701364,0.9839131236076355,0.39289525151252747,0.20671656727790833
1.0,0.210733582964167,0.9868295788764954,0.397177517414093,0.32788407802581787
1.0,0.22473199997330084,0.9934383630752563,0.4009532332420349,0.3056715428829193
1.0,0.2398529580095783,1.0030981302261353,0.40521562099456787,0.15950879454612732
1.0,0.2535180830163881,1.020232915878296,0.40893328189849854,0.36160677671432495
1.0,0.267314541968517,1.0428378582000732,0.41292962431907654,0.2684532403945923
1.0,0.2807256249943748,1.0322250127792358,0.416805237531662,0.12941768765449524
1.0,0.29742008296307176,1.0274109840393066,0.42163053154945374,0.4192635715007782
1.0,0.31172870798036456,1.0210306644439697,0.4260895550251007,0.14648830890655518
1.0,0.3277493749628775,1.0096698999404907,0.43026795983314514,0.2783079445362091
1.0,0.3418562079896219,1.0236854553222656,0.4339946210384369,0.3428671956062317
1.0,0.35577541700331494,1.0653380155563354,0.43801558017730713,0.19774018228054047
1.0,0.36862308299168944,1.0552729368209839,0.4416276514530182,0.2666870057582855
