v_cmd,omega_m,omega_L,ratio_i,q_A
1.0,0.9981352878468377,0.27348833301271636,3.6496448563326007,0.21391634894541928
4.444444444444445,4.443519789893348,1.2192052247926646,3.6446036315576023,0.3323584828223731
7.888888888888889,7.887164794646941,2.1622308448838083,3.647697845634412,0.4669889107615024
11.333333333333334,11.332249619842115,3.1072730814277154,3.647007946477374,0.6092662594167355
14.777777777777779,14.780277221990387,4.040549794339043,3.657986653870246,0.7498250503885261
18.22222222222222,18.242887194879454,4.97687465186224,3.665530774027703,0.9290961518007166
21.666666666666668,21.661567670648747,5.908283613942525,3.666304647178954,1.143875073302876
25.111111111111114,25.110329213163777,6.832314788490685,3.675230136565598,1.3684065085355477
28.555555555555557,28.551739815606012,7.7588816589073515,3.6798782441575253,1.6248419348398844
32.0,31.992215375984664,8.676011005408848,3.68743370150636,1.9043626917147003
