t,vel,vel_ref,torque
5.7792000006884336e-05,-0.002535819308832288,0.0,0.0
0.003595999995013699,0.008151263929903507,0.0,0.0
0.006687708984827623,-0.011503787711262703,0.0,0.0
0.007885667000664398,0.0054425084963440895,0.0,0.0
0.010174499999266118,-0.0035244396422058344,0.0,0.0
0.013187959004426375,0.000926896755117923,0.0,0.0
0.015488292003283277,0.008697093464434147,0.0,0.0024966783821582794
0.01714937499491498,0.009950976818799973,0.0,0.0028270133771002293
0.018420791981043294,0.035832587629556656,0.0,0.002498159883543849
0.020026874990435317,0.032876934856176376,0.0,0.0021694020833820105
0.022063041978981346,0.044126179069280624,0.0,0.0018023967277258635
0.02328137500444427,0.028980620205402374,0.0,0.003564744722098112
0.02477941699908115,0.029590733349323273,0.0,0.0020507758017629385
0.025943833985365927,0.004816087428480387,0.0,0.0023412625305354595
0.030177459004335105,-0.030618097633123398,0.0,0.0017993522342294455
0.03197233399259858,-0.0038815122097730637,0.0,0.0024975582491606474
0.033925791998626664,0.027629824355244637,0.0,0.0017231007805094123
0.03542645898414776,0.030742596834897995,0.0,0.0024594832211732864
0.036862459004623815,0.029581550508737564,0.0,0.00196998193860054
0.03834641698631458,0.018801623955368996,0.0,0.0024594555143266916
0.039875208982266486,-0.0066729155369102955,0.0,0.0017624294850975275
0.041034875001059845,-0.01622037962079048,0.0,0.0021302856039255857
0.04947141700540669,0.011105910874903202,0.0,0.002050889888778329
0.05088579197763465,-0.0018257132032886147,0.0,0.0021308816503733397
0.052920708985766396,0.0009289529407396913,0.0,0.0020511415787041187
0.05430054198950529,-0.008228780701756477,0.0,0.0013152239844202995
0.05950883400510065,0.004957898054271936,0.0,0.0018416058737784624
0.06088516698218882,0.0067106811329722404,0.0,0.0011846049455925822
0.06208045899984427,0.024777207523584366,0.0,0.002090542344376445
0.06391620897920802,0.013303517363965511,0.0,0.0013937382027506828
0.06519812499755062,0.00351323070935905,0.0,0.0010252034990116954
0.06685570898116566,0.002977601019665599,0.0,0.0024998041335493326
0.06891045899828896,-0.005524113774299622,0.0,0.0010254948865622282
0.07247958399238996,-0.006609656382352114,0.0,0.0023399076890200377
0.07453174999682233,0.010774325579404831,0.0,0.0017625221516937017
0.07608624998829328,0.016942735761404037,0.0,0.001352358260191977
0.07836724998196587,0.008651192300021648,0.0,0.0020494326017796993
0.080259958980605,-0.00485993642359972,0.0,0.0016814523842185736
0.08209962499677204,-0.00020251180103514344,0.0,0.002459410112351179
0.08414933399762958,0.01008667517453432,0.0,0.001065751537680626
0.09000674998969771,0.011018159799277782,0.0,0.0011491536861285567
0.09217495899065398,0.0062760598957538605,0.0,0.0003692028985824436
0.09428583399858326,0.007504436653107405,0.0,0.0013932909350842237
0.09703533397987485,0.0010983080137521029,0.0,0.0011076352093368769
0.09828487498452887,0.0019644976127892733,0.0,0.002090050606057048
0.09999799999059178,-0.001965492032468319,0.0,0.0020484349224716425
0.1018484589876607,0.015038957819342613,0.0,0.0010236493544653058
0.10292391700204462,-0.0004096173506695777,0.0,0.002131862100213766
0.10487504198681563,-4.9769278120948e-07,0.0,0.0014352791476994753
0.10682908399030566,0.016772357746958733,0.0,0.0010233517969027162
0.10828662497806363,0.010462133213877678,0.0,0.002132250927388668
0.10993862498435192,0.006337274797260761,0.0,0.0010234005749225616
0.11200291698332876,0.005352735985070467,0.0,0.001848250743933022
0.11326674997690134,0.013657541945576668,0.0,0.00036982953315600753
0.1150903340021614,-0.010044828057289124,0.0,0.0017626211047172546
0.11633029198856093,-0.00385907175950706,0.0,0.0
0.11794420899241231,0.006211782339960337,0.0,0.0017196496482938528
0.12263512497884221,0.011901701800525188,0.0,0.0010663659777492285
0.12441437499364838,0.012331229634582996,0.0,0.0007402832852676511
0.1260611249890644,0.005865925922989845,0.0,0.0013925520470365882
0.12814087499282323,-0.018095584586262703,0.0,0.0018056408734992146
0.1331137089873664,0.004026421811431646,0.0,0.000608423724770546
0.13487283399445005,0.02575155347585678,0.0,-0.00037055675056762993
0.13652295898646116,0.014723711647093296,0.0,0.0014819622738286853
0.1381210419931449,0.0031224878039211035,0.0,0.0003703689144458622
0.14006445900304243,0.00674130255356431,0.0,0.0016730994684621692
0.1418769589799922,0.009385781362652779,0.0,-0.0006061087478883564
0.14301595897995867,-0.003821310354396701,0.0,8.879913366399705e-05
0.14500229200348258,0.004611027892678976,0.0,0.0011113174259662628
0.14614445899496786,0.006605610251426697,0.0,0.0006511136307381094
0.14725770900258794,0.004976276773959398,0.0,-4.4952928874408826e-05
0.14843945897882804,0.011447700671851635,0.0,0.0009760333341546357
0.1496402499906253,0.013165795244276524,0.0,-0.0006048788782209158
0.15079741697991267,0.003130650846287608,0.0,0.0007412649574689567
0.15189904198632576,0.0014013326726853848,0.0,0.0009763437556102872
0.15296149998903275,0.0011952423956245184,0.0,1.8355492473198787e-11
0.15419004199793562,-0.002177692484110594,0.0,0.0007860942860133946
0.15534670898341574,0.0055312891490757465,0.0,0.0009305966668762267
0.15667316698818468,0.007480978965759277,0.0,0.0006959804450161755
0.15791595898917876,0.010338690131902695,0.0,4.574761260300875e-05
0.15904191698064096,0.017545709386467934,0.0,0.00037102302303537726
