torque_Nm,accel_rev_s2,J_kg_m2,run
0.003797498335832414,47.88862855285157,1.2620754650844686e-05,1
0.004177248169415656,37.27094877003414,1.7837745392159057e-05,1
0.004594972986357222,44.2050272367542,1.654365373955547e-05,1
0.005054470284992944,55.12463320853992,1.4593184276155937e-05,1
0.005559917313492239,38.899094592359845,2.2748301288182208e-05,1
0.006115909044841464,25.692062951321887,3.788629810814276e-05,1
0.006727499949325611,76.57745072083564,1.39821169483554e-05,1
0.007400249944258173,79.56426996637822,1.4802955638779982e-05,1
0.008140274938683991,72.90444234839423,1.7770727720917385e-05,1
0.00895430243255239,96.0169224548139,1.4842399210942904e-05,1
0.00984973267580763,110.29273292623152,1.4213390147264241e-05,1
0.010834705943388393,123.57364072885869,1.395440805714397e-05,1
0.011918176537727233,156.9276678771342,1.2087331279951599e-05,1
0.013109994191499958,161.9127158399042,1.2886698667610274e-05,1
0.014420993610649954,177.35236806077387,1.2941312498545753e-05,1
0.01586309297171495,208.3569621905648,1.2117136056464666e-05,1
