t,pos,vel,torque
-0.2999936250387691,-3.0517578125e-05,-0.0048209503293037415,0.0
-0.29866912502329795,-3.0517578125e-05,-0.005375965498387814,0.0
-0.2974712910479866,0.0,0.001515800948254764,0.0
-0.29526137503562494,3.0517578125e-05,0.008042317815124989,0.0
-0.2941454160143621,3.0517578125e-05,0.008265750482678413,0.0
-0.29300833302550017,3.0517578125e-05,0.007791337091475725,0.0
-0.29183200002880766,3.0517578125e-05,0.004651017487049103,0.0
-0.29063108302652835,3.0517578125e-05,0.002790088066831231,0.0
-0.28937187500996514,3.0517578125e-05,0.0034001965541392565,0.0
-0.28821633303305133,0.0,-0.0072695426642894745,0.0
-0.2870841660303995,0.0,-0.0048607406206429005,-0.01992683857679367
-0.28589470802107825,-0.0003662109375,-0.09284680336713791,-0.04297412186861038
-0.2844142910442315,-0.001312255859375,-0.27084922790527344,-0.01690858043730259
-0.28308662499766796,-0.002655029296875,-0.48312580585479736,0.028830083087086678
-0.28182099999394267,-0.003326416015625,-0.4871997833251953,0.05180550366640091
-0.28057450004853307,-0.002593994140625,-0.1890449970960617,0.03140909597277641
-0.2793060410302132,-0.00030517578125,0.3650733232498169,-0.005428140051662922
-0.27803441603900864,0.00225830078125,0.842508852481842,-0.013330000452697277
-0.27672579099889844,0.004425048828125,1.0512442588806152,-0.0178594421595335
-0.2754897500388324,0.005157470703125,0.9258926510810852,-0.014360166154801846
-0.2742497500265017,0.00439453125,0.4956578016281128,-0.008413666859269142
-0.2729615410324186,0.002197265625,-0.12545306980609894,-0.0006296620122157037
-0.2716100410441868,-0.000213623046875,-0.6256861686706543,0.0063545298762619495
-0.2703822910087183,-0.002471923828125,-0.9209739565849304,0.013201101683080196
-0.26908437501406296,-0.003814697265625,-0.9686318039894104,0.01428323145955801
-0.2678772080224007,-0.00390625,-0.7021312713623047,0.01048925518989563
-0.2665072080097161,-0.002838134765625,-0.27039143443107605,0.004362694453448057
-0.2652625410235487,-0.000762939453125,0.27042290568351746,-0.001949904952198267
-0.26386991604231297,0.001190185546875,0.6102057695388794,-0.009967501275241375
-0.2626252500456758,0.00274658203125,0.7715792655944824,-0.012605156749486923
-0.2613440000102855,0.00341796875,0.7023637890815735,-0.01261121779680252
-0.26012091601733117,0.003021240234375,0.42133891582489014,-0.008776250295341015
-0.25887225004844366,0.0018310546875,0.045434143394231796,-0.0012802524724975228
-0.2576632500393316,0.000213623046875,-0.3133793771266937,0.0020823990926146507
-0.2563312910031527,-0.0018310546875,-0.6200247406959534,0.008029011078178883
-0.2545804160297848,-0.002685546875,-0.5607637166976929,0.0066663906909525394
-0.24359629100654273,0.000274658203125,-0.2042030692100525,5.344626697478816e-05
-0.24217575003858655,-0.000885009765625,-0.4046570658683777,0.0034563990775495768
-0.240913291007746,-0.001678466796875,-0.46192654967308044,0.006491952110081911
-0.23965795804979279,-0.00201416015625,-0.40709444880485535,0.0055796196684241295
-0.23833587504923343,-0.001617431640625,-0.19155409932136536,0.002139696851372719
-0.2370173750212416,-0.000823974609375,0.033381711691617966,0.0001919285859912634
-0.2357901660259813,0.000152587890625,0.22912830114364624,-0.002347318921238184
-0.23457191600464283,0.001007080078125,0.35272613167762756,-0.004963094834238291
-0.2333054160233587,0.0015869140625,0.3732678294181824,-0.005207284353673458
-0.23199812504462897,0.00164794921875,0.2814445197582245,-0.004182517994195223
-0.23074675003299489,0.001251220703125,0.12043023109436035,-0.002785387448966503
-0.22950712499441578,0.000457763671875,-0.0876888707280159,-0.002187364036217332
-0.22828900000313296,-0.0003662109375,-0.24412427842617035,0.0017617096891626716
-0.22703904100926592,-0.001129150390625,-0.34446853399276733,0.0035206007305532694
-0.22584220803109928,-0.001495361328125,-0.32570013403892517,0.003518848679959774
-0.22463141604093834,-0.001434326171875,-0.22409683465957642,0.0028294469229876995
-0.22344054102431982,-0.0009765625,-0.06798788160085678,-0.00044389694812707603
-0.22221633304143323,-0.000213623046875,0.11396187543869019,-0.0008678053272888064
-0.22084170802263542,0.0006103515625,0.25642913579940796,-0.0036248161923140287
-0.21913629102054982,0.001190185546875,0.2815292477607727,-0.003287078347057104
-0.21762275004293768,0.001220703125,0.19926682114601135,-0.0037007094360888004
-0.21623354103649034,0.0006103515625,0.0028581004589796066,-0.0005953997024334967
-0.21448729101102798,-0.000213623046875,-0.17131532728672028,0.0010105558903887868
-0.2129547500051558,-0.000885009765625,-0.2571302652359009,0.001825732528232038
-0.20907945804065092,-0.000640869140625,-0.01629088632762432,0.0007544051040895283
-0.20759316604817285,-3.0517578125e-05,0.12206067889928818,-0.0017062395345419645
-0.20614779101451858,0.000518798828125,0.19761912524700165,-0.0020847811829298735
-0.20435725002316757,0.000762939453125,0.11774002760648727,-0.0018111875979229808
-0.20185562503756954,0.0003662109375,-0.0031234819907695055,-0.001710100332275033
-0.20044241602299734,-9.1552734375e-05,-0.09866347163915634,-0.00043214281322434545
-0.1992117080488242,-0.000457763671875,-0.15702670812606812,0.001069098711013794
-0.19805783302290364,-0.000762939453125,-0.17786629498004913,0.002389470813795924
-0.19696891600033267,-0.000885009765625,-0.1619514375925064,0.000507736811414361
-0.19563520799856632,-0.000732421875,-0.08109483122825623,0.001446806127205491
-0.19084183302475138,0.000518798828125,0.1561390459537506,-0.002508114092051983
-0.18964512501843273,0.000518798828125,0.10955150425434113,-0.002457482274621725
-0.18841466599842532,0.000396728515625,0.054938677698373795,-0.001171894371509552
-0.18716412504436447,0.000152587890625,-0.019033284857869148,-0.0013880127808079123
-0.18597983302315696,-0.00018310546875,-0.08657258749008179,-5.792214869870804e-05
-0.18427650002995505,-0.000579833984375,-0.12159662693738937,0.0008772655855864286
-0.18237866602139546,-0.000640869140625,-0.08760710060596466,0.0014464453561231494
-0.1809445000370033,-0.000518798828125,-0.032752521336078644,0.0006924591725692153
-0.17978524999925866,-0.000213623046875,0.039868634194135666,-0.0002596236881799996
-0.17833145802142097,6.103515625e-05,0.08740805834531784,-0.001013143453747034
-0.17713487504515796,0.000213623046875,0.09630054235458374,-0.001975091639906168
-0.17589570804266258,0.000274658203125,0.07918490469455719,-0.0020294853020459414
-0.1746207910007797,0.000152587890625,0.03327483311295509,-0.0018713134340941906
-0.17291958299465476,-9.1552734375e-05,-0.03125780075788498,-0.00011402150266803801
-0.17108041602186858,-0.000396728515625,-0.08200895041227341,0.0008125274907797575
-0.16978175002150236,-0.000518798828125,-0.0821487158536911,0.001008082297630608
-0.168634375045076,-0.00054931640625,-0.06489226222038269,0.0004994039773009717
-0.1674036250449717,-0.000457763671875,-0.029233621433377266,-0.0003160140768159181
-0.1662481250357814,-0.000274658203125,0.01871286891400814,-0.0008926508598960936
-0.16493916600011288,-0.000152587890625,0.04504236578941345,-0.001011362997815013
-0.16363283300306647,9.1552734375e-05,0.08058164268732071,-0.0014428753638640046
-0.16237300001084803,0.0001220703125,0.06523102521896362,-0.001972358673810959
-0.16109179101185872,3.0517578125e-05,0.029199987649917603,-0.0008049282478168607
-0.15985429101856424,-9.1552734375e-05,-0.003268340602517128,-0.0007502539083361626
-0.15870158299803733,-0.000213623046875,-0.03506739065051079,-0.00037566962419077754
-0.15748162504751234,-0.0003662109375,-0.05874934792518616,0.001009289175271988
-0.15628891602391376,-0.000457763671875,-0.06027461588382721,-0.0011296375887468457
-0.15485229099867864,-0.000518798828125,-0.05933395028114319,-0.0006310760509222746
-0.15344895801972597,-0.000457763671875,-0.026923783123493195,-0.0008874699124135077
-0.15215787502238526,-0.00030517578125,0.01759875938296318,-0.0010099998908117414
-0.15098316601943224,-0.000152587890625,0.041310302913188934,5.7633624237496406e-05
-0.14966275002807378,-3.0517578125e-05,0.06209578365087509,-0.002024821238592267
-0.14839854104211553,6.103515625e-05,0.06242837756872177,-0.002192258834838867
-0.1472179160453379,-3.0517578125e-05,0.02287852205336094,-0.0018750032177194953
-0.14591858304338529,-0.000152587890625,-0.002801084890961647,-0.0015013318043202162
-0.14464516601292415,-0.000213623046875,-0.02291116677224636,-0.00037570117274299264
-0.14282041603000833,-0.000457763671875,-0.06270281970500946,-6.070233939681202e-05
-0.14132270800182595,-0.000579833984375,-0.06870800256729126,0.0008158847340382636
-0.13988087502075358,-0.00048828125,-0.024493591859936714,0.0008749436819925904
-0.13616804104531183,-9.1552734375e-05,0.056273214519023895,-0.001068612327799201
-0.13492554101394488,-3.0517578125e-05,0.05237995460629463,-0.0006374223157763481
-0.1336735000484623,-9.1552734375e-05,0.020482951775193214,-0.002080302918329835
-0.1324914160184562,-0.000213623046875,-0.006738247349858284,-0.0006931973621249199
-0.13129308302886783,-0.000335693359375,-0.031199678778648376,-0.0006337090162560344
-0.13010429103160276,-0.00048828125,-0.05841067433357239,0.0006924551562406123
-0.12888520800042896,-0.000518798828125,-0.04950596019625664,-0.00037677973159588873
-0.12762320799520238,-0.00054931640625,-0.04034718871116638,0.0008152295486070216
-0.12632883300539105,-0.000457763671875,-0.00676475977525115,-0.0013850871473550797
-0.1249845000100322,-0.000396728515625,0.013004559092223644,-0.001128701725974679
-0.12325633300933986,-0.000213623046875,0.035626478493213654,-0.0006931250100024045
-0.11838729104492812,-0.000335693359375,-0.014320717193186283,-0.0006336034857667983
-0.11714420800562947,-0.000457763671875,-0.04177147522568703,3.8256569678644936e-13
-0.115990541013889,-0.00048828125,-0.036647796630859375,0.00043748001917265356
-0.11473237503087147,-0.000457763671875,-0.017576323822140694,-0.0006321011460386217
-0.11341212504776194,-0.000518798828125,-0.023039743304252625,-0.0003157367173116654
-0.10873600003542377,-0.000335693359375,0.01926477439701557,-0.000891326810233295
-0.10745550000574439,-0.000274658203125,0.02124609425663948,-0.001127699390053749
-0.10602087499573826,-0.000335693359375,0.006238264963030815,-0.0006335843354463577
-0.10478179099736734,-0.000335693359375,0.0008880907553248107,-0.002078451681882143
-0.10354491603793575,-0.000396728515625,-0.013686131685972214,-0.0013852902920916677
-0.10200891604181378,-0.000579833984375,-0.04237852245569229,0.0003152676799800247
-0.10069725000066682,-0.00054931640625,-0.025983158499002457,-0.0004383079067338258
-0.09948016599519177,-0.000518798828125,-0.013483095914125443,-6.124992069089785e-05
-0.09807825002353637,-0.00054931640625,-0.012720970436930656,-0.00012299706577323377
-0.08934162500081583,-0.000518798828125,-0.006543375551700592,-0.000498577079270035
-0.08803429100662469,-0.0006103515625,-0.027057472616434097,-0.0003770644252654165
-0.08584695799509062,-0.000518798828125,-0.0041814991272985935,0.0004994583432562649
-0.08446275001624598,-0.000579833984375,-0.012750552035868168,-0.0005687227821908891
-0.08311304101953282,-0.00054931640625,-0.0013870459515601397,-0.0006923306500539184
-0.08198433300713076,-0.000518798828125,0.004797689151018858,-0.0005600603180937469
-0.08071554104099049,-0.000518798828125,0.00784312468022108,-0.0005708053940907121
