f_hz,mag,mag_db,phase_deg,re,im,n,drift
3.0,2.6438889494152744,8.444864192754563,161.78654024691954,-2.5114265504839595,0.8263688391780293,3870,-0.13163907062736746
3.081060971552104,2.225386654611364,6.948109586116901,168.95207709722567,-2.184144109144978,0.42645078615198906,3733,-0.0007413081956801789
3.164312236807198,1.9914357455278933,5.983325965719313,163.251920006053,-1.906961068179992,0.5738604473319796,3672,0.0007161510393665495
3.249812978210466,1.6890799770660934,4.553004273553521,162.3088203826687,-1.6092004700190718,0.5132884337446076,3501,-0.0003162758366463764
3.3376239773359253,1.527059768453337,3.6771207097138134,157.3775665475482,-1.409567301637947,0.5873938700581373,3447,0.0026975023087879215
3.427807658095408,1.3243558154735082,2.440093658813836,152.0810077918226,-1.1702146695525193,0.6200935035481254,3402,0.0024869307235885377
3.52042813111506,1.416993865585263,3.0273594022923733,142.73635985620967,-1.127725734421469,0.8579663647427123,3357,0.006134847601869188
3.6155512393109084,1.3154698639526783,2.381618066009922,134.51541732084053,-0.9222774508519066,0.938011336081706,3253,-0.0002081977974428428
3.7132446046958942,1.2266202609668797,1.7742026792851806,136.57514652424996,-0.8908655450958335,0.8431819763109027,3032,-0.0002721071426148656
3.8135776764516467,1.1133710571257913,0.9327985464610116,124.85283103995295,-0.6362586997878993,0.9136574729019699,3075,-0.0020862139243413053
3.9166217802991756,1.059498508411422,0.5020069927315536,124.35504547016546,-0.597895606834132,0.874675901494075,3053,-0.0010984610619400596
4.02245016920357,1.0376404222796165,0.3209376352876214,122.87189092495635,-0.5631922791178379,0.8714999154851801,2835,-0.0011762373760832682
4.131138075448759,1.3141781402736707,2.3730847792710743,106.3901256883836,-0.3708296954460314,1.260773382233527,2764,0.0015240979286089773
4.242762764119348,0.9987751696899712,-0.010645261549428518,98.61431820619752,-0.14959897077569173,0.9875079683385266,2705,-0.0012912378415865363
4.35740358802755,0.712019136809094,-2.9501666750464963,113.19883141850055,-0.2804808306287231,0.6544476715767189,3117,0.0002402349247164293
4.475142044124262,0.8092298626691797,-1.8385619803791222,89.6636673350659,0.004750242958324135,0.8092159203991333,2736,-0.0016688658143154513
4.5960618314343895,0.9570253109142927,-0.38153152147363245,98.48972257441241,-0.14128756464010733,0.9465385728054965,2318,0.0015421494724997906
4.720248910557594,0.9015821662047968,-0.8998937492533943,50.47769535066349,0.5737475583739902,0.6954596621504504,2292,-0.003065767859815959
4.847791564776781,0.9587379086244058,-0.36600200455286624,126.86669844221183,-0.5751999181176094,0.7670224453241214,2470,-0.0009423129225730124
4.978780462817748,3.478057353682702,10.826734786125947,32.80649799295794,2.92332516026331,1.884423774759227,2547,-0.0022180144105824486
5.113308723304629,3.0813444615092465,9.774805010614472,65.79491014025072,1.2633637402236009,2.8104440486090345,2534,-0.0018606719795859939
5.251471980956937,2.275360862500518,7.141005674055468,16.081124537434217,2.1863270392377845,0.6302706816097714,2601,0.002070062177178394
5.393368454575277,1.789375399061562,5.0540292444168236,30.733814902840646,1.5380590717529778,0.9144608305253388,2412,0.001820843649847646
5.539099016864058,2.449130835917022,7.780239726986191,45.93845580188444,1.7032006433117928,1.7599288110778537,2434,-0.0005213405492765209
5.688767266140826,2.453084658830855,7.79425072954674,39.532304167465746,1.8919803776683493,1.5614206972847584,2080,0.003494764012276927
5.84247959998322,2.240099261783564,7.005345258555992,38.043860979621776,1.764166030958031,1.3804937224982428,1698,0.006589862765152161
6.000345290865884,2.3919534151834654,7.5750543447407495,31.673792609062357,2.035675240320127,1.2559727132208878,2146,-0.0010920088507117038
6.16247656384111,2.662784711387922,8.506721094938294,36.36441430205885,2.144239893985146,1.5788152824962867,1938,0.010097547390941725
6.3289886763184535,2.660936970175516,8.500691750109585,29.9214488456998,2.3062608885121287,1.3273079045067502,2023,0.00028419821447514
6.5,3.141089248306298,9.941605525144826,29.849437926534517,2.7243807709591645,1.5633908918288402,1890,0.009875466981295425
