v_cmd,omega,torque,q_A
-31.0,-31.031221398285457,-0.035403329346861155,-1.1744874937992011
-28.63076923076923,-28.629157148335313,-0.0318693525423359,-1.0571949289125555
-26.26153846153846,-26.278829591691228,-0.02726446375284227,-0.9060509358553609
-23.892307692307693,-23.89686838218144,-0.02400737691121841,-0.7960596322747213
-21.52307692307692,-21.530546701542466,-0.020193513569990048,-0.6699947262926219
-19.153846153846153,-19.119766937602652,-0.017867231871690255,-0.5953477760302576
-16.784615384615385,-16.787903896399907,-0.014004562804400069,-0.466984198649048
-14.415384615384614,-14.414562447723252,-0.011943824359880355,-0.3956051683414999
-12.046153846153846,-12.041241727803088,-0.009706166898441152,-0.32244970841099535
-9.676923076923076,-9.674962228482908,-0.007863613917635601,-0.2609152921701802
-7.3076923076923075,-7.311036394732031,-0.0062259784559229375,-0.20380088360611417
-4.938461538461539,-4.941263636852281,-0.004925660830038092,-0.16320760696449554
-2.5692307692307694,-2.575954229181463,-0.003335801736565455,-0.11311333242234523
-0.2,-0.19287285711943059,-0.005451438382646812,-0.17963875184783287
0.2,0.24646732466926902,0.004099661297625393,0.13646315769684983
2.5692307692307694,2.5785001353545334,0.003346929535982625,0.1113155310565222
4.938461538461539,4.933909430711165,0.004930793699647005,0.16449876458147566
7.3076923076923075,7.299949855135198,0.006156623674119226,0.20604540603195792
9.676923076923076,9.667331164343315,0.007915721414014565,0.26090279723890775
12.046153846153846,12.048260136654502,0.009520641887221674,0.31460345062450795
14.415384615384614,14.415611484594512,0.01200718302929441,0.3971023571354811
16.784615384615385,16.781055690931236,0.014418008952381333,0.4796154042300971
19.153846153846153,19.16921569990075,0.016566191124451395,0.5509958919396444
21.52307692307692,21.524133823844544,0.020281122355847964,0.6722039608000148
23.892307692307693,23.887426501278274,0.024211483844860934,0.8036170915484949
26.26153846153846,26.26150383029068,0.02811496775074486,0.9315443360491803
28.63076923076923,28.62961027632544,0.03190561182377658,1.060215465176157
31.0,31.004460533805517,0.03599734705589388,1.195911913851033
