t,vel,vel_ref,torque
2.3791013518348336e-05,0.011676463298499584,0.0,0.0
0.0016641250113025308,0.0009710151934996247,0.0,0.0
0.0028549999988172203,0.004785716533660889,0.0,0.0
0.00577245801105164,-0.0032905552070587873,0.0,0.0
0.006953708012588322,0.0037644500844180584,0.0,0.0
0.008087374997558072,-0.004081246443092823,0.0,0.0
0.00928258299245499,-0.015387619845569134,0.0,0.0
0.010806083009811118,0.0030829249881207943,0.0,0.0
0.011832457996206358,-0.0034660384990274906,0.0,0.0
0.012884083000244573,0.0032757511362433434,0.0,0.0
0.013849665992893279,-0.0024192656856030226,0.0,-0.0003403406881261617
0.01496387500083074,0.0039440118707716465,0.0,1.8690037904889323e-05
0.016670457989675924,0.00046497193397954106,0.0,0.0010589208686724305
0.017791874997783452,-0.0012827115133404732,0.0,-1.3291157237305118e-11
0.018931458005681634,-0.0042169406078755856,0.0,-1.8973631085827947e-05
0.02005183300934732,-0.002221338450908661,0.0,-3.784864748013206e-05
0.02115608300664462,0.003183928318321705,0.0,-1.8778709490185896e-11
0.02229466600692831,0.008722847327589989,0.0,0.00034061455517075956
0.02352945800521411,-0.004362834617495537,0.0,-1.893207081593573e-05
0.02467958300258033,-0.0027671693824231625,0.0,3.777791062020697e-05
0.02578741600154899,-0.01410822942852974,0.0,-1.944062751135789e-05
0.026929125015158206,-0.005728942807763815,0.0,0.0006422532605938613
0.02804770800867118,0.010838842019438744,0.0,0.0010218879906460643
0.0290906660084147,0.0026360591873526573,0.0,0.0007184139103628695
0.030440458009252325,0.013981200754642487,0.0,-0.000736114161554724
0.03157104100682773,-0.0035874454770237207,0.0,0.0010778970317915082
0.032729291007854044,0.004514332395046949,0.0,0.000718304596375674
0.03387670801021159,0.0006588224205188453,0.0,0.0010589186567813158
0.03512895799940452,0.004014413338154554,0.0,0.0010401711333543062
0.036619082995457575,-0.006356393918395042,0.0,-0.0003785256121773273
0.03770558300311677,-0.009939501993358135,0.0,0.0006610210984945297
0.038946582993958145,0.014434188604354858,0.0,0.0
0.040103540988639,0.0022391804959625006,0.0,-0.0003404848976060748
0.041239915997721255,0.008050506003201008,0.0,-0.00037741009145975113
0.042283082992071286,0.003642019582912326,0.0,0.00037769347545690835
0.04339108298881911,-0.005775876808911562,0.0,-0.0007186488946899772
0.0446507080050651,0.004150101915001869,0.0,-0.000736904563382268
0.04579812500742264,-0.0050361985340714455,0.0,-1.9002925910172053e-05
0.047006415989017114,-0.001358209759928286,0.0,3.777178790187463e-05
0.04808379101450555,-0.008943742141127586,0.0,-0.0006804010481573641
0.049155165994307026,-0.009979291819036007,0.0,-1.4216148223888947e-11
0.0502588750096038,0.002725837053731084,0.0,-3.7706937291659415e-05
0.05131087501649745,0.008789162151515484,0.0,0.0006811624043621123
0.05238320800708607,0.006048779468983412,0.0,-3.7007419450674206e-05
0.053542957990430295,-0.0012633285950869322,0.0,4.22793440882363e-12
0.054599291004706174,0.004529633093625307,0.0,2.5622351462750714e-11
0.0556370000122115,0.00441332533955574,0.0,1.8517510397941805e-05
0.05672900000354275,0.009762478061020374,0.0,0.0003224461688660085
