v_cmd,omega_mean,t,torque,omega
-32.0,-32.00667858967739,0.6198575000162236,-0.05903872102499008,-32.046939849853516
-32.0,-32.00667858967739,0.6333990409621038,-0.06565799564123154,-31.86334991455078
-32.0,-32.00667858967739,0.6479668749962002,-0.060244668275117874,-32.08602523803711
-32.0,-32.00667858967739,0.6599984579952434,-0.06455549597740173,-31.93461036682129
-32.0,-32.00667858967739,0.6727320830104873,-0.05984478443861008,-32.07509994506836
-32.0,-32.00667858967739,0.6858436249895021,-0.06120751053094864,-32.0941276550293
-32.0,-32.00667858967739,0.6985254579922184,-0.06476883590221405,-31.98780059814453
-32.0,-32.00667858967739,0.7133674579672515,-0.05814652889966965,-32.07525634765625
-32.0,-32.00667858967739,0.7265530409640633,-0.06564370542764664,-31.796579360961914
-32.0,-32.00667858967739,0.7401441659894772,-0.05930161476135254,-32.08200454711914
-32.0,-32.00667858967739,0.7528552080038935,-0.06186617165803909,-32.01222229003906
-32.0,-32.00667858967739,0.767531791003421,-0.06201746314764023,-32.078189849853516
-32.0,-32.00667858967739,0.7801073329756036,-0.06087126582860947,-32.09161376953125
-32.0,-32.00667858967739,0.7925516659743153,-0.06510993838310242,-31.866859436035156
-32.0,-32.00667858967739,0.8043629999738187,-0.05894467234611511,-32.095577239990234
-32.0,-32.00667858967739,0.8163021249929443,-0.06129658222198486,-32.011375427246094
-32.0,-32.00667858967739,0.8285330409999005,-0.06500908732414246,-32.01842498779297
-32.0,-32.00667858967739,0.8409196250140667,-0.06039533391594887,-31.99884605407715
-32.0,-32.00667858967739,0.8532038329867646,-0.06702854484319687,-31.81057357788086
-32.0,-32.00667858967739,0.8670537910074927,-0.06097375229001045,-32.05338668823242
-32.0,-32.00667858967739,0.8796142910141498,-0.06348667293787003,-31.88326072692871
-32.0,-32.00667858967739,0.8924798329826444,-0.0616208016872406,-32.059783935546875
-32.0,-32.00667858967739,0.9079405830125324,-0.06375385820865631,-32.0018196105957
-32.0,-32.00667858967739,0.9232923329691403,-0.05876564979553223,-32.09614562988281
-32.0,-32.00667858967739,0.9385824580094777,-0.06066085770726204,-31.97671127319336
-32.0,-32.00667858967739,0.9520791660179384,-0.06454582512378693,-31.97028160095215
-32.0,-32.00667858967739,0.9647363749681972,-0.059529855847358704,-32.06280517578125
-32.0,-32.00667858967739,0.9777712909854017,-0.06681572645902634,-31.809375762939453
-32.0,-32.00667858967739,0.9900114159681834,-0.06077999621629715,-32.03732681274414
-32.0,-32.00667858967739,1.002293333003763,-0.06514786928892136,-31.921817779541016
-32.0,-32.00667858967739,1.0141435830155388,-0.0631023496389389,-31.941242218017578
-32.0,-32.00667858967739,1.0266146659851074,-0.05926470831036568,-32.11970901489258
-32.0,-32.00667858967739,1.0390398749732412,-0.06341056525707245,-31.899911880493164
-32.0,-32.00667858967739,1.0528906660038047,-0.05845952033996582,-32.10825729370117
-32.0,-32.00667858967739,1.0665501250186935,-0.06636026501655579,-31.938385009765625
-32.0,-32.00667858967739,1.081409749982413,-0.05835091322660446,-32.10087966918945
-32.0,-32.00667858967739,1.0948076659697108,-0.05849437043070793,-32.12385559082031
-32.0,-32.00667858967739,1.1078682909719646,-0.06098876893520355,-32.026641845703125
-32.0,-32.00667858967739,1.1205600409884937,-0.06083938106894493,-32.053348541259766
-32.0,-32.00667858967739,1.1334285829798318,-0.06553299725055695,-31.784982681274414
-32.0,-32.00667858967739,1.1459888329845853,-0.05672912672162056,-32.15320587158203
-32.0,-32.00667858967739,1.158658333006315,-0.061748191714286804,-32.051326751708984
-32.0,-32.00667858967739,1.1711819999618456,-0.06393218785524368,-31.92945098876953
-32.0,-32.00667858967739,1.1833682910073549,-0.06270784139633179,-32.00634765625
-32.0,-32.00667858967739,1.1947619579732418,-0.06786882877349854,-31.764787673950195
-32.0,-32.00667858967739,1.2095329579897225,-0.059735007584095,-32.09654235839844
-32.0,-32.00667858967739,1.2240858330042101,-0.06351542472839355,-31.877548217773438
-32.0,-32.00667858967739,1.236918415990658,-0.06256218999624252,-31.998226165771484
