v_cmd,omega,omega_std,torque,torque_std,q_A
-32.0,-32.00667858967739,0.11671009442588237,-0.06202309021511964,0.003419664056175366,-1.9205750205875498
-30.13529411764706,-30.13258810505468,0.11644712900409862,-0.05730551128411083,0.0035833163568624042,-1.7757201551865902
-28.27058823529412,-28.28329102817552,0.10969602852344801,-0.05222429277060868,0.0034341501303393894,-1.620389519831835
-26.405882352941177,-26.408854488796656,0.104316052406456,-0.048160178114970524,0.0032156450746062986,-1.4930944956673515
-24.541176470588237,-24.545903222750773,0.10848703683855326,-0.04412953450089007,0.003442933930178976,-1.3679064538626544
-22.676470588235293,-22.679588667690492,0.1003159027757673,-0.03975569715471247,0.0032540173125175215,-1.2310036017384591
-20.811764705882354,-20.807875650269644,0.11108079621689204,-0.035732700647453645,0.003477298535919139,-1.1067537391292197
-18.947058823529414,-18.939690602398336,0.12508916676660548,-0.032302150559737695,0.004069463206716187,-1.0012496662972796
-17.08235294117647,-17.091769578721788,0.08785372998581657,-0.02835572264260716,0.0031537733998264843,-0.8771247042549981
-15.21764705882353,-15.21146100390274,0.0879445368558178,-0.02569038251134674,0.0032086307345365124,-0.7962590593152341
-13.352941176470589,-13.348529781915445,0.07474224950969169,-0.022636420439632064,0.003005501316368394,-0.7016199530489677
-11.488235294117647,-11.484775349957303,0.06716439466438771,-0.0198202814931452,0.003197060420925815,-0.6150491005261038
-9.623529411764707,-9.6241159480551,0.06637674288183704,-0.016916359426534695,0.0031661556021205643,-0.5262216238871865
-7.758823529411765,-7.759964145390334,0.048320458167809346,-0.014910547781851044,0.00339308216673925,-0.46281837737929504
-5.894117647058823,-5.890257063366118,0.05055897799856136,-0.012755001278279663,0.003457500541456791,-0.39357881377011666
-4.029411764705882,-4.029009093453873,0.05269473044300505,-0.010502814703310529,0.003728091794011956,-0.3276577987002604
-2.164705882352941,-2.1549608601933032,0.060027748059360835,-0.008929574641654581,0.0032362982963813807,-0.27706468596527006
-0.3,-0.3071825371774952,0.09164793224665853,-0.007693285003647642,0.003953258885120526,-0.23719222411725555
0.3,0.31808669038018467,0.07069528309803316,0.00885145898009876,0.003374231155182303,0.271988471732003
2.164705882352941,2.1651069117443904,0.05790127797566617,0.00908405181533973,0.0034287121933995364,0.28246418113953303
4.029411764705882,4.035827526838883,0.04990617117614334,0.01067044372447645,0.003672120375483786,0.33040013523853345
5.894117647058823,5.911543013227038,0.062277640948215265,0.012538751558803315,0.003385902852271313,0.38971775060918135
7.758823529411765,7.7630418022122,0.05992601316384133,0.014854830986432798,0.0031337944588496203,0.46276817530129866
9.623529411764707,9.597337892045191,0.10578223074056813,0.017979896607208046,0.004159192039249107,0.5583492278794706
11.488235294117647,11.490533594499555,0.08423997584361097,0.019826433233295877,0.0034502092520260342,0.6125320147788316
13.352941176470589,13.354926667771897,0.09113333564911862,0.022522390933354963,0.0032735665041652485,0.6992658525705338
15.21764705882353,15.206632961306656,0.09571103572140571,0.025750553831784873,0.003155540691695561,0.7966578333524236
17.08235294117647,17.08195414102025,0.10720403883722089,0.028760911141920194,0.0037156641275120526,0.8915182633021854
18.947058823529414,18.969537214035505,0.11916205175305133,0.03090048113649112,0.003591311227410167,0.9595384077878776
20.811764705882354,20.81049964501469,0.12233353613483246,0.035744418763444814,0.0036967089816349334,1.1066979505942256
22.676470588235293,22.68327391251274,0.11768377642033105,0.03875398971140385,0.0035734705231291884,1.2022313265696816
24.541176470588237,24.546799208901145,0.12806835378202575,0.04327864944934845,0.003889983343604464,1.3386770595203747
26.405882352941177,26.413839987049933,0.12703395937778755,0.04725022594565931,0.0038232355358088,1.4645914870759715
28.27058823529412,28.27585710558975,0.12896131834067953,0.05188835539708012,0.0038286321576782296,1.6087524357594942
30.13529411764706,30.135253702799478,0.1422214463183315,0.05701633478204409,0.004082069504806261,1.766955026520623
32.0,32.004993538669105,0.134690927451462,0.06087875232816263,0.003948135457037317,1.8875605935092576
