# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
283,24800754,-73.3
284,24821591,-69.7
285,24842453,-41.0
286,24863282,-45.3
287,24884106,-54.7
288,24904942,-52.0
289,24925755,-72.3
290,24946571,-89.7
291,24967443,-51.0
292,24988256,-71.4
293,25009101,-59.7
294,25030011,17.0
295,25050750,-77.4
296,25071539,-121.7
297,25092342,-152.1
298,25113203,-124.4
299,25134026,-134.7
300,25154803,-191.1
301,25175654,-173.4
302,25196491,-169.7
303,25217268,-226.1
304,25238268,-59.4
305,25259090,-70.8
306,25279911,-83.1
307,25300730,-97.4
308,25321573,-87.8
309,25342408,-86.1
310,25363106,-221.5
311,25383932,-228.8
312,25404768,-226.1
313,25425623,-204.5
314,25446498,-162.8
315,25467275,-219.1
316,25488107,-220.5
317,25508938,-222.8
318,25529789,-205.2
319,25550618,-209.5
320,25571466,-194.8
321,25592311,-183.2
322,25613136,-191.5
323,25634055,-105.9
324,25654923,-71.2
325,25675776,-51.5
326,25696451,-209.9
327,25717271,-223.2
328,25738132,-195.5
329,25758997,-163.9
330,25779811,-183.2
331,25800706,-121.6
332,25821435,-225.9
333,25842266,-228.2
334,25863116,-211.6
335,25883960,-200.9
336,25904774,-220.3
337,25925642,-185.6
338,25946447,-213.9
339,25967299,-195.3
340,25988104,-223.6
341,26008950,-210.9
342,26029960,-34.3
343,26050827,-0.6
344,26071648,-13.0
345,26092462,-32.3
346,26113278,-49.6
347,26134100,-61.0
348,26154903,-91.3
349,26175806,-21.7
350,26196589,-72.0
351,26217430,-64.3
352,26238279,-48.7
353,26259119,-42.0
354,26279899,-95.4
355,26300785,-42.7
356,26321606,-55.0
357,26342435,-59.4
358,26363275,-52.7
359,26384085,-76.0
360,26404927,-67.4
361,26425715,-112.7
362,26446574,-87.1
363,26467425,-69.4
364,26488281,-46.7
365,26509118,-43.1
366,26529944,-50.4
367,26550781,-46.8
368,26571586,-75.1
369,26592399,-95.4
370,26613292,-35.8
371,26634138,-23.1
372,26654973,-21.4
373,26675852,24.2
374,26696608,-53.1
375,26717448,-46.5
376,26738261,-66.8
377,26759113,-48.1
378,26779938,-56.5
379,26800804,-23.8
380,26821596,-65.2
381,26842390,-104.5
382,26863320,-7.8
383,26884095,-66.2
384,26904945,-49.5
385,26925756,-71.8
386,26946610,-51.2
387,26967475,-19.5
388,26988273,-54.9
389,27009094,-67.2
390,27029978,-16.5
391,27050814,-13.9
392,27071604,-57.2
393,27092444,-50.6
394,27113252,-75.9
395,27134082,-79.2
396,27154920,-74.6
397,27175751,-76.9
398,27196594,-67.2
399,27217424,-70.6
400,27238264,-63.9
401,27259034,-127.3
402,27279966,-28.6
403,27300728,-99.9
404,27321590,-71.3
405,27342414,-80.6
406,27363276,-52.0
407,27384098,-63.3
408,27404977,-17.6
409,27425766,-62.0
410,27446606,-55.3
411,27467473,-21.6
412,27488277,-51.0
413,27509154,-7.3
414,27529959,-35.7
415,27550735,-93.0
416,27571618,-43.3
417,27592429,-65.7
418,27613251,-77.0
419,27634119,-42.4
420,27654970,-24.7
421,27675826,-2.0
422,27696598,-63.4
423,27717403,-91.7
424,27738293,-35.0
425,27759083,-78.4
426,27779918,-76.7
427,27800830,1.9
428,27821609,-52.4
