# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 2430
# period  = 62500.018 us/tick
# bpm     = 40.000
# sigma_t = 309.010 us
# k,timestamp_us,residual_us
295,41043804,226.8
296,41105804,-273.2
297,41168804,226.8
298,41230804,-273.3
299,41293804,226.7
300,41355804,-273.3
301,41418804,226.7
302,41480804,-273.3
303,41543804,226.6
304,41605804,-273.4
305,41668804,226.6
306,41730804,-273.4
307,41793804,226.6
308,41855804,-273.4
309,41918804,226.5
310,41980804,-273.5
311,42043804,226.5
312,42105804,-273.5
313,42168804,226.5
314,42230804,-273.5
315,42293804,226.4
316,42355804,-273.6
317,42418804,226.4
318,42480804,-273.6
319,42543804,226.4
320,42605804,-273.7
321,42668804,226.3
322,42730804,-273.7
323,42793804,226.3
324,42855804,-273.7
325,42918804,226.3
326,42980804,-273.8
327,43043804,226.2
328,43105804,-273.8
329,43168804,226.2
330,43230804,-273.8
331,43293804,226.1
332,43355804,-273.9
333,43418804,226.1
334,43480804,-273.9
335,43543804,226.1
336,43605804,-273.9
337,43668804,226.0
338,43730804,-274.0
339,43793804,226.0
340,43855804,-274.0
341,43918804,226.0
342,43980804,-274.0
343,44043804,225.9
344,44105804,-274.1
345,44168804,225.9
346,44230804,-274.1
347,44293804,225.9
348,44355804,-274.2
349,44418804,225.8
350,44480804,-274.2
351,44543804,225.8
352,44605804,-274.2
353,44668804,225.8
354,44730804,-274.3
355,44793804,225.7
356,44855804,-274.3
357,44918804,225.7
358,44980804,-274.3
359,45043804,225.7
360,45105804,-274.4
361,45168804,225.6
362,45230804,-274.4
363,45293804,225.6
364,45355804,-274.4
365,45418804,225.5
366,45480804,-274.5
367,45543804,225.5
368,45605804,-274.5
369,45668804,225.5
370,45730804,-274.5
371,45793804,225.4
372,45855804,-274.6
373,45918804,225.4
374,45980804,-274.6
375,46043804,225.4
376,46105804,-274.7
377,46168804,225.3
378,46230804,-274.7
379,46293804,225.3
380,46355804,-274.7
381,46418804,225.3
382,46480804,-274.8
383,46543804,225.2
384,46605804,-274.8
385,46668804,225.2
386,46730804,-274.8
387,46793804,225.2
388,46855804,-274.9
389,46918804,225.1
390,46980804,-274.9
391,47043804,225.1
392,47105804,-274.9
393,47168804,225.0
