# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6659
# period  = 15625.004 us/tick
# bpm     = 160.000
# sigma_t = 342.984 us
# k,timestamp_us,residual_us
0,9423878,1381.9
1,9439804,1682.9
2,9454804,1057.9
3,9470804,1432.9
4,9485800,803.9
5,9501804,1182.9
6,9517804,1557.9
7,9532804,932.9
8,9548804,1307.9
9,9564804,1682.8
10,9579804,1057.8
11,9595804,1432.8
12,9611804,1807.8
13,9626804,1182.8
14,9642804,1557.8
15,9658804,1932.8
16,9673804,1307.8
17,9689804,1682.8
18,9704804,1057.8
19,9720804,1432.8
20,9736804,1807.8
21,9751804,1182.8
22,9767804,1557.8
23,9783804,1932.8
24,9798804,1307.8
25,9814804,1682.8
26,9829804,1057.8
27,9845804,1432.8
28,9861804,1807.8
29,9876804,1182.8
30,9892804,1557.8
31,9907804,932.8
32,9923804,1307.8
33,9939804,1682.8
34,9954804,1057.8
35,9970804,1432.7
36,9986804,1807.7
37,10001804,1182.7
38,10017804,1557.7
39,10032804,932.7
40,10048804,1307.7
41,10064804,1682.7
42,10079804,1057.7
43,10095804,1432.7
44,10110804,807.7
45,10126804,1182.7
46,10142804,1557.7
47,10158804,1932.7
48,10173804,1307.7
49,10189804,1682.7
50,10204804,1057.7
51,10220804,1432.7
52,10236804,1807.7
53,10251804,1182.7
54,10267804,1557.7
55,10283804,1932.7
56,10298804,1307.7
57,10314804,1682.7
58,10329804,1057.7
59,10345804,1432.7
60,10361804,1807.6
61,10376804,1182.6
62,10392804,1557.6
63,10408804,1932.6
64,10423804,1307.6
65,10439804,1682.6
66,10454804,1057.6
67,10470804,1432.6
68,10486804,1807.6
69,10501804,1182.6
70,10517804,1557.6
71,10533804,1932.6
72,10548804,1307.6
73,10564804,1682.6
74,10579804,1057.6
75,10595804,1432.6
76,10611804,1807.6
77,10626804,1182.6
78,10642804,1557.6
79,10658804,1932.6
80,10673804,1307.6
81,10689804,1682.6
82,10704804,1057.6
83,10720804,1432.6
84,10736804,1807.6
85,10751804,1182.6
86,10767804,1557.5
87,10783804,1932.5
88,10798804,1307.5
89,10814804,1682.5
90,10829804,1057.5
91,10845804,1432.5
92,10861804,1807.5
93,10876804,1182.5
94,10892804,1557.5
95,10906804,-67.5
96,10922804,307.5
97,10937804,-317.5
98,10953804,57.5
99,10968810,-561.5
100,10984804,-192.5
101,11000804,182.5
102,11015804,-442.5
103,11031804,-67.5
104,11047804,307.5
105,11062804,-317.5
106,11078804,57.5
107,11093804,-567.5
108,11109804,-192.5
109,11124807,-814.5
110,11140804,-442.5
111,11156804,-67.5
112,11172804,307.4
113,11187804,-317.6
114,11203804,57.4
115,11218804,-567.6
116,11234804,-192.6
117,11250804,182.4
118,11265804,-442.6
119,11281804,-67.6
120,11297804,307.4
121,11312804,-317.6
122,11328804,57.4
123,11343809,-562.6
124,11359804,-192.6
125,11375804,182.4
126,11390804,-442.6
127,11406804,-67.6
128,11422804,307.4
129,11437804,-317.6
130,11453804,57.4
131,11468810,-561.6
132,11484804,-192.6
133,11500804,182.4
134,11515804,-442.6
135,11531804,-67.6
136,11547804,307.4
137,11562804,-317.7
138,11578804,57.3
139,11593805,-566.7
140,11609804,-192.7
141,11625804,182.3
142,11640804,-442.7
143,11656804,-67.7
144,11671804,-692.7
145,11687804,-317.7
146,11703804,57.3
147,11718804,-567.7
148,11734804,-192.7
149,11750804,182.3
150,11765804,-442.7
151,11781804,-67.7
152,11796813,-683.7
153,11812804,-317.7
154,11828804,57.3
155,11843804,-567.7
156,11859804,-192.7
157,11875804,182.3
158,11890804,-442.7
159,11906804,-67.7
160,11921804,-692.7
161,11937804,-317.7
162,11953804,57.3
163,11968804,-567.8
164,11984804,-192.8
165,12000804,182.2
166,12015804,-442.8
167,12031804,-67.8
168,12046804,-692.8
169,12062804,-317.8
170,12078804,57.2
171,12093804,-567.8
172,12109804,-192.8
173,12125804,182.2
174,12140804,-442.8
175,12156804,-67.8
176,12172804,307.2
177,12187804,-317.8
178,12203804,57.2
179,12218810,-561.8
180,12234804,-192.8
181,12250804,182.2
182,12265804,-442.8
183,12281804,-67.8
184,12297804,307.2
185,12312804,-317.8
186,12328804,57.2
187,12343804,-567.8
188,12359804,-192.9
189,12375804,182.1
190,12390804,-442.9
191,12406804,-67.9
192,12422804,307.1
193,12437804,-317.9
194,12453804,57.1
195,12468808,-563.9
196,12484804,-192.9
197,12500804,182.1
198,12515804,-442.9
199,12531804,-67.9
200,12547804,307.1
201,12562804,-317.9
202,12578804,57.1
203,12593810,-561.9
204,12609804,-192.9
205,12625804,182.1
206,12640804,-442.9
207,12656804,-67.9
208,12672804,307.1
209,12687804,-317.9
210,12703804,57.1
211,12718804,-567.9
212,12734804,-192.9
213,12750804,182.1
214,12765804,-443.0
215,12781804,-68.0
216,12797804,307.0
217,12812804,-318.0
218,12828804,57.0
219,12843804,-568.0
220,12859804,-193.0
221,12875804,182.0
222,12890804,-443.0
223,12906804,-68.0
224,12922804,307.0
225,12937804,-318.0
226,12953804,57.0
227,12968812,-560.0
228,12984804,-193.0
229,13000804,182.0
230,13015804,-443.0
231,13031804,-68.0
232,13047804,307.0
233,13062804,-318.0
234,13078804,57.0
235,13093800,-572.0
236,13109804,-193.0
237,13125804,182.0
238,13140804,-443.0
239,13156804,-68.0
240,13171804,-693.1
241,13187804,-318.1
242,13203804,56.9
243,13218804,-568.1
244,13234804,-193.1
245,13250804,181.9
246,13265804,-443.1
247,13281804,-68.1
248,13297804,306.9
249,13312804,-318.1
250,13328804,56.9
251,13343804,-568.1
252,13359804,-193.1
253,13375804,181.9
254,13390804,-443.1
255,13406804,-68.1
256,13422804,306.9
257,13437804,-318.1
258,13453804,56.9
259,13468810,-562.1
260,13484804,-193.1
261,13500804,181.9
262,13515804,-443.1
263,13531804,-68.1
264,13547804,306.9
265,13562804,-318.2
266,13578804,56.8
267,13593799,-573.2
268,13609804,-193.2
269,13625804,181.8
270,13640804,-443.2
271,13656804,-68.2
272,13672804,306.8
273,13687804,-318.2
274,13703804,56.8
275,13719804,431.8
276,13734804,-193.2
277,13750804,181.8
278,13765804,-443.2
279,13781804,-68.2
280,13797804,306.8
281,13812804,-318.2
282,13828804,56.8
283,13843800,-572.2
284,13859804,-193.2
285,13875804,181.8
286,13890804,-443.2
287,13906804,-68.2
288,13922804,306.8
289,13937804,-318.2
290,13953804,56.8
291,13968807,-565.3
292,13984804,-193.3
293,14000804,181.7
294,14015804,-443.3
295,14031804,-68.3
296,14047804,306.7
297,14062804,-318.3
298,14078804,56.7
299,14093801,-571.3
300,14109804,-193.3
301,14125804,181.7
302,14140804,-443.3
303,14156804,-68.3
304,14172804,306.7
305,14187804,-318.3
306,14203804,56.7
307,14218804,-568.3
308,14234804,-193.3
309,14250804,181.7
310,14265804,-443.3
311,14281804,-68.3
312,14297804,306.7
313,14312804,-318.3
314,14328804,56.7
315,14343803,-569.3
316,14359804,-193.4
317,14375804,181.6
318,14390804,-443.4
319,14406804,-68.4
320,14422804,306.6
321,14437804,-318.4
322,14453804,56.6
323,14468804,-568.4
324,14484804,-193.4
325,14500804,181.6
326,14515804,-443.4
327,14531804,-68.4
328,14547804,306.6
329,14562804,-318.4
330,14578804,56.6
331,14594804,431.6
332,14609804,-193.4
333,14625804,181.6
334,14640804,-443.4
335,14656804,-68.4
336,14671799,-698.4
337,14687804,-318.4
338,14703804,56.6
339,14718800,-572.4
340,14734804,-193.4
341,14750804,181.6
342,14765804,-443.5
343,14781804,-68.5
344,14797804,306.5
345,14812804,-318.5
346,14828804,56.5
347,14844804,431.5
348,14859804,-193.5
349,14875804,181.5
350,14890804,-443.5
351,14906804,-68.5
352,14922804,306.5
353,14937804,-318.5
354,14953804,56.5
355,14968821,-551.5
356,14984804,-193.5
357,15000804,181.5
358,15015804,-443.5
359,15031804,-68.5
360,15047804,306.5
361,15062804,-318.5
362,15078804,56.5
363,15093808,-564.5
364,15109804,-193.5
365,15125804,181.5
366,15140804,-443.5
367,15156804,-68.5
368,15172804,306.4
369,15187804,-318.6
370,15203804,56.4
371,15218811,-561.6
372,15234804,-193.6
373,15250804,181.4
374,15265804,-443.6
375,15281804,-68.6
376,15297804,306.4
377,15312804,-318.6
378,15328804,56.4
379,15343804,-568.6
380,15359804,-193.6
381,15375804,181.4
382,15390804,-443.6
383,15406804,-68.6
384,15422804,306.4
385,15437804,-318.6
386,15453804,56.4
387,15468810,-562.6
388,15484804,-193.6
389,15500804,181.4
390,15515804,-443.6
391,15531804,-68.6
392,15547804,306.4
393,15562804,-318.7
394,15578804,56.3
395,15594804,431.3
396,15609804,-193.7
397,15625804,181.3
398,15640804,-443.7
399,15656804,-68.7
400,15672804,306.3
401,15687804,-318.7
402,15703804,56.3
403,15719804,431.3
404,15734804,-193.7
405,15750804,181.3
406,15765804,-443.7
407,15781804,-68.7
408,15797804,306.3
409,15812804,-318.7
410,15828804,56.3
411,15843799,-573.7
412,15859804,-193.7
413,15875804,181.3
414,15890804,-443.7
415,15906804,-68.7
416,15922804,306.3
417,15937804,-318.7
418,15953804,56.3
419,15968810,-562.8
420,15984804,-193.8
421,16000804,181.2
422,16015804,-443.8
423,16031804,-68.8
424,16047804,306.2
425,16062804,-318.8
426,16078804,56.2
427,16094804,431.2
428,16109804,-193.8
429,16125804,181.2
430,16140804,-443.8
431,16156804,-68.8
432,16172804,306.2
433,16187804,-318.8
434,16203804,56.2
435,16219804,431.2
436,16234804,-193.8
437,16250804,181.2
438,16265804,-443.8
439,16281804,-68.8
440,16297804,306.2
441,16312804,-318.8
442,16328804,56.2
443,16344804,431.2
444,16359804,-193.8
445,16375804,181.1
446,16390804,-443.9
447,16406804,-68.9
448,16422804,306.1
449,16437804,-318.9
450,16453804,56.1
451,16469804,431.1
452,16484804,-193.9
453,16500804,181.1
454,16515804,-443.9
455,16531804,-68.9
456,16547804,306.1
457,16562804,-318.9
458,16578804,56.1
459,16594804,431.1
460,16609804,-193.9
461,16625804,181.1
462,16640804,-443.9
463,16656804,-68.9
464,16672804,306.1
465,16687804,-318.9
466,16703804,56.1
467,16719804,431.1
468,16734804,-193.9
469,16750804,181.1
470,16765804,-444.0
471,16781804,-69.0
472,16797804,306.0
473,16812804,-319.0
474,16828804,56.0
475,16843811,-562.0
476,16859804,-194.0
477,16875804,181.0
478,16890804,-444.0
479,16906804,-69.0
480,16922804,306.0
481,16937804,-319.0
482,16953804,56.0
483,16969804,431.0
484,16984804,-194.0
485,17000804,181.0
486,17015804,-444.0
487,17031804,-69.0
488,17047804,306.0
489,17062804,-319.0
490,17078804,56.0
491,17094804,431.0
492,17109804,-194.0
493,17125804,181.0
494,17140804,-444.0
495,17156804,-69.0
496,17172804,305.9
497,17187804,-319.1
498,17203804,55.9
499,17219804,430.9
500,17234804,-194.1
501,17250804,180.9
502,17265804,-444.1
503,17281804,-69.1
504,17297804,305.9
505,17312804,-319.1
506,17328804,55.9
507,17343804,-569.1
508,17359804,-194.1
509,17375804,180.9
510,17390804,-444.1
511,17406804,-69.1
512,17422804,305.9
513,17437804,-319.1
514,17453804,55.9
515,17469804,430.9
516,17484804,-194.1
517,17500804,180.9
518,17515804,-444.1
519,17531804,-69.1
520,17547804,305.9
521,17562804,-319.2
522,17578804,55.8
523,17594804,430.8
524,17609804,-194.2
525,17625804,180.8
526,17640804,-444.2
527,17656804,-69.2
528,17672804,305.8
529,17687804,-319.2
530,17703804,55.8
531,17718811,-562.2
532,17734804,-194.2
533,17750804,180.8
534,17765804,-444.2
535,17781804,-69.2
536,17797804,305.8
537,17812804,-319.2
538,17828804,55.8
539,17843807,-566.2
540,17859804,-194.2
541,17875804,180.8
542,17890804,-444.2
543,17906804,-69.2
544,17922804,305.8
545,17937804,-319.2
546,17953804,55.8
547,17969804,430.7
548,17984804,-194.3
549,18000804,180.7
550,18015804,-444.3
551,18031804,-69.3
552,18047804,305.7
553,18062804,-319.3
554,18078804,55.7
555,18094804,430.7
556,18109804,-194.3
557,18125804,180.7
558,18140804,-444.3
559,18156804,-69.3
560,18172804,305.7
561,18187804,-319.3
562,18203804,55.7
563,18219804,430.7
564,18234804,-194.3
565,18250804,180.7
566,18265804,-444.3
567,18281804,-69.3
568,18297804,305.7
569,18312804,-319.3
570,18328804,55.7
571,18344804,430.7
572,18359804,-194.3
573,18375804,180.6
574,18390804,-444.4
575,18406804,-69.4
576,18422804,305.6
577,18437804,-319.4
578,18453804,55.6
579,18469804,430.6
580,18484804,-194.4
581,18500804,180.6
582,18515804,-444.4
583,18531804,-69.4
584,18547804,305.6
585,18562804,-319.4
586,18578804,55.6
587,18593804,-569.4
588,18609804,-194.4
589,18625804,180.6
590,18640804,-444.4
591,18656804,-69.4
592,18672804,305.6
593,18687804,-319.4
594,18703804,55.6
595,18719804,430.6
596,18734804,-194.4
597,18750804,180.6
598,18765804,-444.5
599,18781804,-69.5
600,18797804,305.5
601,18812804,-319.5
602,18828804,55.5
603,18843804,-569.5
604,18859804,-194.5
605,18875804,180.5
606,18890804,-444.5
607,18906804,-69.5
608,18922804,305.5
609,18937804,-319.5
610,18953804,55.5
611,18969804,430.5
612,18984804,-194.5
613,19000804,180.5
614,19015804,-444.5
615,19031804,-69.5
616,19047804,305.5
617,19062804,-319.5
618,19078804,55.5
619,19093800,-573.5
620,19109804,-194.5
621,19125804,180.5
622,19140804,-444.5
623,19156804,-69.5
624,19172804,305.4
625,19187804,-319.6
626,19203804,55.4
627,19219804,430.4
628,19234804,-194.6
629,19250804,180.4
630,19265804,-444.6
631,19281804,-69.6
632,19297804,305.4
633,19312804,-319.6
634,19328804,55.4
635,19344804,430.4
636,19359804,-194.6
637,19375804,180.4
